## [BeGaze]
## Converted from:	U:\eyedata\ishimaru_Eng_kawa-[19f29ad3-705a-4368-927e-a2fef684f663]\ishimaru_Eng_kawa-21-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9014
## Reversed:	none
## [Run]
## Subject:	ishimaru_Eng_kawa
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
11762279273	SMP	1	693.95	668.83	00:00:00:00		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762318297	SMP	1	690.68	661.78	00:00:00:01		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762345963	SMP	1	689.99	662.29	00:00:00:02		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762412560	SMP	1	679.12	659.68	00:00:00:03		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762445748	SMP	1	676.92	642.60	00:00:00:04		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762479398	SMP	1	673.00	634.10	00:00:00:05		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762512857	SMP	1	673.58	639.25	00:00:00:06		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762579615	SMP	1	681.57	636.07	00:00:00:07		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762611810	SMP	1	689.51	641.41	00:00:00:08		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762645157	SMP	1	698.27	647.97	00:00:00:09		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762681047	SMP	1	707.05	653.74	00:00:00:10		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762715247	SMP	1	713.87	656.76	00:00:00:10		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762747846	SMP	1	720.68	656.63	00:00:00:11		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762811733	SMP	1	725.71	663.00	00:00:00:13		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762845147	SMP	1	724.22	661.90	00:00:00:14		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762882229	SMP	1	719.12	663.45	00:00:00:15		Fixation	ishimuaru_eng_kawa-21-recording.avi
11762945169	SMP	1	706.18	662.13	00:00:00:16		Saccade	ishimuaru_eng_kawa-21-recording.avi
11762977991	SMP	1	700.23	650.51	00:00:00:17		Saccade	ishimuaru_eng_kawa-21-recording.avi
11763011927	SMP	1	697.47	647.06	00:00:00:18		Fixation	ishimuaru_eng_kawa-21-recording.avi
11763045053	SMP	1	696.85	644.92	00:00:00:19		Fixation	ishimuaru_eng_kawa-21-recording.avi
11763077869	SMP	1	696.19	648.40	00:00:00:20		Saccade	ishimuaru_eng_kawa-21-recording.avi
11763112036	SMP	1	696.49	659.90	00:00:00:20		Saccade	ishimuaru_eng_kawa-21-recording.avi
11763145149	SMP	1	696.23	663.17	00:00:00:21		Fixation	ishimuaru_eng_kawa-21-recording.avi
11763177712	SMP	1	698.11	667.11	00:00:00:22		Fixation	ishimuaru_eng_kawa-21-recording.avi
11763211395	SMP	1	701.37	672.23	00:00:00:22		Fixation	ishimuaru_eng_kawa-21-recording.avi
11763244282	SMP	1	701.34	672.68	00:00:00:23		Saccade	ishimuaru_eng_kawa-21-recording.avi
