## [BeGaze]
## Converted from:	U:\eyedata\ishimaru_Eng_kawa-[19f29ad3-705a-4368-927e-a2fef684f663]\ishimaru_Eng_kawa-25-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13002
## Reversed:	none
## [Run]
## Subject:	ishimaru_Eng_kawa (4)
## Description:	Run5
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
13359903369	SMP	1	667.97	658.32	00:00:00:00		-	ishimuaru_eng_kawa-25-recording.avi
13359935237	SMP	1	672.80	656.40	00:00:00:00		Fixation	ishimuaru_eng_kawa-25-recording.avi
13359968591	SMP	1	671.47	653.83	00:00:00:01		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360001820	SMP	1	667.08	649.48	00:00:00:02		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360035324	SMP	1	662.01	649.09	00:00:00:03		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360070784	SMP	1	655.98	649.23	00:00:00:04		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360101817	SMP	1	653.07	647.12	00:00:00:05		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360134999	SMP	1	651.93	653.61	00:00:00:05		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360167940	SMP	1	653.13	650.79	00:00:00:06		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360201341	SMP	1	654.36	651.86	00:00:00:07		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360234593	SMP	1	652.34	652.34	00:00:00:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360268430	SMP	1	652.69	653.22	00:00:00:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360301348	SMP	1	652.99	653.64	00:00:00:09		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360334666	SMP	1	654.92	655.12	00:00:00:10		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360370755	SMP	1	656.31	656.52	00:00:00:11		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360401674	SMP	1	656.02	657.73	00:00:00:12		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360434957	SMP	1	655.45	655.18	00:00:00:12		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360468020	SMP	1	656.03	657.26	00:00:00:14		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360501043	SMP	1	658.67	659.97	00:00:00:14		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360534252	SMP	1	658.51	656.05	00:00:00:15		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360567513	SMP	1	660.40	655.08	00:00:00:16		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360600724	SMP	1	660.91	657.07	00:00:00:17		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360634362	SMP	1	661.67	652.91	00:00:00:17		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360667418	SMP	1	660.48	654.50	00:00:00:18		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360700496	SMP	1	662.41	648.43	00:00:00:19		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360734557	SMP	1	663.04	649.09	00:00:00:20		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360767428	SMP	1	662.75	651.32	00:00:00:20		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360800226	SMP	1	664.32	652.76	00:00:00:21		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360833577	SMP	1	664.02	655.49	00:00:00:22		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360866972	SMP	1	664.38	655.60	00:00:00:23		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360900192	SMP	1	666.61	653.46	00:00:01:00		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360934230	SMP	1	667.89	650.76	00:00:01:01		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360967264	SMP	1	668.76	649.08	00:00:01:01		Fixation	ishimuaru_eng_kawa-25-recording.avi
13360999870	SMP	1	670.96	637.59	00:00:01:02		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361033487	SMP	1	673.11	617.54	00:00:01:03		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361066626	SMP	1	675.89	594.26	00:00:01:04		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361099776	SMP	1	675.00	589.59	00:00:01:05		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361132960	SMP	1	606.37	532.72	00:00:01:05		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361166666	SMP	1	602.12	541.72	00:00:01:06		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361199970	SMP	1	602.90	563.77	00:00:01:07		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361232717	SMP	1	605.11	575.93	00:00:01:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361265987	SMP	1	608.93	576.63	00:00:01:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361299626	SMP	1	610.67	562.64	00:00:01:09		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361334242	SMP	1	611.50	550.40	00:00:01:10		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361366299	SMP	1	610.84	555.42	00:00:01:11		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361401330	SMP	1	610.64	565.40	00:00:01:12		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361432580	SMP	1	609.65	574.60	00:00:01:13		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361465801	SMP	1	611.67	578.21	00:00:01:13		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361499434	SMP	1	613.49	577.79	00:00:01:14		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361532625	SMP	1	612.99	578.53	00:00:01:15		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361565701	SMP	1	613.78	577.55	00:00:01:16		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361599502	SMP	1	612.95	577.14	00:00:01:16		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361632168	SMP	1	612.70	577.01	00:00:01:17		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361666010	SMP	1	612.09	575.59	00:00:01:18		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361698755	SMP	1	612.66	576.40	00:00:01:19		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361732170	SMP	1	656.70	578.09	00:00:01:20		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361765371	SMP	1	798.93	551.84	00:00:01:21		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361799063	SMP	1	791.46	538.26	00:00:01:21		Saccade	ishimuaru_eng_kawa-25-recording.avi
13361865797	SMP	1	790.54	474.58	00:00:01:23		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361898315	SMP	1	793.12	493.71	00:00:02:00		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361931659	SMP	1	789.86	536.03	00:00:02:00		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361965000	SMP	1	787.04	577.99	00:00:02:01		Fixation	ishimuaru_eng_kawa-25-recording.avi
13361999230	SMP	1	785.04	610.08	00:00:02:02		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362032245	SMP	1	782.80	624.45	00:00:02:03		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362065709	SMP	1	784.13	627.13	00:00:02:03		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362098385	SMP	1	786.01	618.20	00:00:02:05		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362132256	SMP	1	788.30	593.15	00:00:02:06		Saccade	ishimuaru_eng_kawa-25-recording.avi
13362166084	SMP	1	745.25	564.33	00:00:02:06		Saccade	ishimuaru_eng_kawa-25-recording.avi
13362231690	SMP	1	721.98	525.29	00:00:02:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362264493	SMP	1	717.14	533.42	00:00:02:09		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362297773	SMP	1	714.46	554.48	00:00:02:09		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362331774	SMP	1	716.47	571.92	00:00:02:10		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362364101	SMP	1	720.67	577.20	00:00:02:11		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362398189	SMP	1	725.17	573.24	00:00:02:12		Saccade	ishimuaru_eng_kawa-25-recording.avi
13362430816	SMP	1	726.31	558.24	00:00:02:12		Saccade	ishimuaru_eng_kawa-25-recording.avi
13362464117	SMP	1	724.93	544.74	00:00:02:13		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362497504	SMP	1	722.89	536.00	00:00:02:14		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362531306	SMP	1	719.26	478.62	00:00:02:15		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362563965	SMP	1	718.93	475.26	00:00:02:16		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362597791	SMP	1	719.20	479.23	00:00:02:16		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362630509	SMP	1	721.81	473.66	00:00:02:17		-	ishimuaru_eng_kawa-25-recording.avi
13362664104	SMP	1	609.46	-1.26	00:00:02:18		-	ishimuaru_eng_kawa-25-recording.avi
13362696941	SMP	1	0.00	0.00	00:00:02:19		-	ishimuaru_eng_kawa-25-recording.avi
13362730361	SMP	1	39.06	1034.64	00:00:02:20		-	ishimuaru_eng_kawa-25-recording.avi
13362763477	SMP	1	783.85	237.31	00:00:02:20		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362797018	SMP	1	745.59	461.37	00:00:02:21		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362830496	SMP	1	746.39	470.93	00:00:02:22		Fixation	ishimuaru_eng_kawa-25-recording.avi
13362863180	SMP	1	748.42	476.03	00:00:02:23		-	ishimuaru_eng_kawa-25-recording.avi
13362897403	SMP	1	670.37	93.15	00:00:02:23		-	ishimuaru_eng_kawa-25-recording.avi
13362930400	SMP	1	0.00	0.00	00:00:03:00		-	ishimuaru_eng_kawa-25-recording.avi
13362963703	SMP	1	0.00	0.00	00:00:03:01		-	ishimuaru_eng_kawa-25-recording.avi
13362996690	SMP	1	0.00	0.00	00:00:03:02		-	ishimuaru_eng_kawa-25-recording.avi
13363030044	SMP	1	819.44	177.23	00:00:03:03		-	ishimuaru_eng_kawa-25-recording.avi
13363063025	SMP	1	757.51	427.60	00:00:03:04		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363096609	SMP	1	726.92	528.21	00:00:03:05		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363129767	SMP	1	728.74	537.84	00:00:03:05		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363162856	SMP	1	730.02	543.98	00:00:03:06		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363196312	SMP	1	732.31	548.22	00:00:03:07		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363230105	SMP	1	730.80	542.75	00:00:03:08		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363262902	SMP	1	729.36	546.69	00:00:03:08		-	ishimuaru_eng_kawa-25-recording.avi
13363295949	SMP	1	0.00	0.00	00:00:03:09		-	ishimuaru_eng_kawa-25-recording.avi
13363329480	SMP	1	0.00	0.00	00:00:03:10		-	ishimuaru_eng_kawa-25-recording.avi
13363362749	SMP	1	0.00	0.00	00:00:03:11		-	ishimuaru_eng_kawa-25-recording.avi
13363396034	SMP	1	796.00	347.79	00:00:03:12		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363429570	SMP	1	735.14	495.31	00:00:03:12		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363462617	SMP	1	736.79	511.26	00:00:03:13		Fixation	ishimuaru_eng_kawa-25-recording.avi
13363496577	SMP	1	735.50	514.99	00:00:03:14		-	ishimuaru_eng_kawa-25-recording.avi
13363529714	SMP	1	1076.11	748.61	00:00:03:15		-	ishimuaru_eng_kawa-25-recording.avi
13363595831	SMP	1	0.00	0.00	00:00:03:16		-	ishimuaru_eng_kawa-25-recording.avi
13363629689	SMP	1	0.00	0.00	00:00:03:17		-	ishimuaru_eng_kawa-25-recording.avi
13363663520	SMP	1	0.00	0.00	00:00:03:18		-	ishimuaru_eng_kawa-25-recording.avi
13363695689	SMP	1	0.00	0.00	00:00:03:19		-	ishimuaru_eng_kawa-25-recording.avi
13363728722	SMP	1	0.00	0.00	00:00:03:19		-	ishimuaru_eng_kawa-25-recording.avi
