## [BeGaze]
## Converted from:	U:\eyedata\解析済み\katou_kawaeng-[b83ce77e-4f61-452f-8ff6-613ce41e1f71]\katou_kawaeng-1-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13958
## Reversed:	none
## [Run]
## Subject:	katou_kawaeng
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
460625321	SMP	1	687.07	593.58	00:00:00:00		Fixation	katou_kawaeng-1-recording.avi
460660995	SMP	1	686.91	594.14	00:00:00:01		Fixation	katou_kawaeng-1-recording.avi
460696008	SMP	1	686.85	593.05	00:00:00:02		Fixation	katou_kawaeng-1-recording.avi
460725528	SMP	1	683.33	593.12	00:00:00:03		Fixation	katou_kawaeng-1-recording.avi
460764112	SMP	1	675.41	601.51	00:00:00:04		Saccade	katou_kawaeng-1-recording.avi
460791140	SMP	1	664.95	614.70	00:00:00:04		Saccade	katou_kawaeng-1-recording.avi
460826009	SMP	1	662.53	618.51	00:00:00:05		Fixation	katou_kawaeng-1-recording.avi
460857777	SMP	1	665.73	613.04	00:00:00:06		Fixation	katou_kawaeng-1-recording.avi
460894583	SMP	1	668.04	604.29	00:00:00:07		Fixation	katou_kawaeng-1-recording.avi
460924237	SMP	1	673.05	591.82	00:00:00:08		Saccade	katou_kawaeng-1-recording.avi
460957052	SMP	1	684.59	580.49	00:00:00:09		Saccade	katou_kawaeng-1-recording.avi
460990904	SMP	1	696.52	578.08	00:00:00:09		Saccade	katou_kawaeng-1-recording.avi
461023520	SMP	1	663.66	500.62	00:00:00:10		Saccade	katou_kawaeng-1-recording.avi
461057181	SMP	1	670.14	497.32	00:00:00:11		Fixation	katou_kawaeng-1-recording.avi
461089811	SMP	1	683.13	514.63	00:00:00:12		Fixation	katou_kawaeng-1-recording.avi
461123454	SMP	1	692.76	536.37	00:00:00:12		Fixation	katou_kawaeng-1-recording.avi
461156610	SMP	1	700.16	556.06	00:00:00:13		Fixation	katou_kawaeng-1-recording.avi
461189995	SMP	1	704.41	580.97	00:00:00:14		Fixation	katou_kawaeng-1-recording.avi
461223195	SMP	1	704.99	604.24	00:00:00:15		Blink	katou_kawaeng-1-recording.avi
461256354	SMP	1	542.43	430.26	00:00:00:16		Blink	katou_kawaeng-1-recording.avi
461289604	SMP	1	557.30	794.79	00:00:00:16		Blink	katou_kawaeng-1-recording.avi
461322686	SMP	1	564.31	789.79	00:00:00:17		Blink	katou_kawaeng-1-recording.avi
461356388	SMP	1	571.78	777.35	00:00:00:18		Fixation	katou_kawaeng-1-recording.avi
461389746	SMP	1	576.88	766.13	00:00:00:19		Fixation	katou_kawaeng-1-recording.avi
461422735	SMP	1	587.06	754.42	00:00:00:20		Fixation	katou_kawaeng-1-recording.avi
461456206	SMP	1	603.46	743.42	00:00:00:20		Fixation	katou_kawaeng-1-recording.avi
461489183	SMP	1	613.18	732.67	00:00:00:21		Saccade	katou_kawaeng-1-recording.avi
461523595	SMP	1	528.18	762.28	00:00:00:22		Saccade	katou_kawaeng-1-recording.avi
461556021	SMP	1	531.59	754.18	00:00:00:23		Fixation	katou_kawaeng-1-recording.avi
461589301	SMP	1	538.77	747.64	00:00:00:23		Fixation	katou_kawaeng-1-recording.avi
461623275	SMP	1	544.07	738.46	00:00:01:00		Fixation	katou_kawaeng-1-recording.avi
461655583	SMP	1	551.62	730.69	00:00:01:01		Fixation	katou_kawaeng-1-recording.avi
461689407	SMP	1	558.56	726.93	00:00:01:02		Saccade	katou_kawaeng-1-recording.avi
461722984	SMP	1	568.78	717.66	00:00:01:03		Saccade	katou_kawaeng-1-recording.avi
461755552	SMP	1	577.19	712.49	00:00:01:03		Fixation	katou_kawaeng-1-recording.avi
461788934	SMP	1	585.15	705.97	00:00:01:04		Fixation	katou_kawaeng-1-recording.avi
461822144	SMP	1	592.18	699.68	00:00:01:05		Fixation	katou_kawaeng-1-recording.avi
461855229	SMP	1	599.76	696.44	00:00:01:06		Fixation	katou_kawaeng-1-recording.avi
461889758	SMP	1	604.58	695.44	00:00:01:07		Saccade	katou_kawaeng-1-recording.avi
461922141	SMP	1	582.46	702.99	00:00:01:08		Saccade	katou_kawaeng-1-recording.avi
461954990	SMP	1	590.75	697.70	00:00:01:08		Saccade	katou_kawaeng-1-recording.avi
461988428	SMP	1	596.70	690.15	00:00:01:09		Fixation	katou_kawaeng-1-recording.avi
462022319	SMP	1	601.01	683.60	00:00:01:10		Fixation	katou_kawaeng-1-recording.avi
