## [BeGaze]
## Converted from:	U:\eyedata\解析済み\katou_kawaeng-[b83ce77e-4f61-452f-8ff6-613ce41e1f71]\katou_kawaeng-10-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8706
## Reversed:	none
## [Run]
## Subject:	katou_kawaeng (9)
## Description:	Run10
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
5195327785	SMP	1	717.41	785.30	00:00:00:00		Fixation	katou_kawaeng-10-recording.avi
5195360757	SMP	1	717.20	782.92	00:00:00:01		Fixation	katou_kawaeng-10-recording.avi
5195394226	SMP	1	717.14	784.90	00:00:00:02		Fixation	katou_kawaeng-10-recording.avi
5195428610	SMP	1	716.80	784.16	00:00:00:02		Fixation	katou_kawaeng-10-recording.avi
5195460697	SMP	1	715.63	784.66	00:00:00:03		Fixation	katou_kawaeng-10-recording.avi
5195506221	SMP	1	714.98	784.32	00:00:00:04		Fixation	katou_kawaeng-10-recording.avi
5195527644	SMP	1	715.96	786.36	00:00:00:05		Fixation	katou_kawaeng-10-recording.avi
5195560458	SMP	1	715.92	787.24	00:00:00:05		Fixation	katou_kawaeng-10-recording.avi
5195594382	SMP	1	715.96	786.95	00:00:00:06		Fixation	katou_kawaeng-10-recording.avi
5195630009	SMP	1	715.42	790.49	00:00:00:07		Fixation	katou_kawaeng-10-recording.avi
5195660959	SMP	1	715.64	791.63	00:00:00:08		Fixation	katou_kawaeng-10-recording.avi
5195693604	SMP	1	718.31	790.96	00:00:00:08		Saccade	katou_kawaeng-10-recording.avi
5195726649	SMP	1	616.03	786.55	00:00:00:09		Saccade	katou_kawaeng-10-recording.avi
5195760140	SMP	1	585.13	769.03	00:00:00:10		Fixation	katou_kawaeng-10-recording.avi
5195793173	SMP	1	592.92	764.04	00:00:00:11		Fixation	katou_kawaeng-10-recording.avi
5195826572	SMP	1	597.69	755.55	00:00:00:11		Fixation	katou_kawaeng-10-recording.avi
5195859797	SMP	1	598.75	748.30	00:00:00:12		Fixation	katou_kawaeng-10-recording.avi
5195894200	SMP	1	603.29	746.83	00:00:00:13		Fixation	katou_kawaeng-10-recording.avi
5195926440	SMP	1	607.46	742.39	00:00:00:14		Fixation	katou_kawaeng-10-recording.avi
5195960189	SMP	1	611.29	732.15	00:00:00:15		Fixation	katou_kawaeng-10-recording.avi
5195992946	SMP	1	619.81	721.36	00:00:00:16		Fixation	katou_kawaeng-10-recording.avi
5196026309	SMP	1	624.85	711.31	00:00:00:16		Fixation	katou_kawaeng-10-recording.avi
5196059729	SMP	1	628.58	708.26	00:00:00:17		Saccade	katou_kawaeng-10-recording.avi
5196093074	SMP	1	752.09	765.52	00:00:00:18		Saccade	katou_kawaeng-10-recording.avi
5196126721	SMP	1	778.70	772.73	00:00:00:19		Blink	katou_kawaeng-10-recording.avi
5196159300	SMP	1	778.61	773.46	00:00:00:20		Blink	katou_kawaeng-10-recording.avi
5196193055	SMP	1	781.03	778.27	00:00:00:21		Blink	katou_kawaeng-10-recording.avi
5196226088	SMP	1	778.95	783.40	00:00:00:21		Blink	katou_kawaeng-10-recording.avi
5196259155	SMP	1	592.38	876.06	00:00:00:22		Blink	katou_kawaeng-10-recording.avi
5196292943	SMP	1	462.08	816.08	00:00:00:23		Blink	katou_kawaeng-10-recording.avi
5196325713	SMP	1	446.69	898.29	00:00:01:00		Blink	katou_kawaeng-10-recording.avi
5196359562	SMP	1	458.71	890.86	00:00:01:00		Blink	katou_kawaeng-10-recording.avi
5196392622	SMP	1	475.31	878.79	00:00:01:01		Blink	katou_kawaeng-10-recording.avi
5196426756	SMP	1	498.53	870.26	00:00:01:02		Fixation	katou_kawaeng-10-recording.avi
5196459498	SMP	1	519.55	860.07	00:00:01:03		Fixation	katou_kawaeng-10-recording.avi
5196492535	SMP	1	494.55	900.76	00:00:01:04		Fixation	katou_kawaeng-10-recording.avi
5196525593	SMP	1	440.58	972.74	00:00:01:04		Fixation	katou_kawaeng-10-recording.avi
5196558812	SMP	1	473.90	944.80	00:00:01:05		-	katou_kawaeng-10-recording.avi
5196591766	SMP	1	504.54	919.79	00:00:01:06		Fixation	katou_kawaeng-10-recording.avi
5196625174	SMP	1	531.79	902.22	00:00:01:07		Fixation	katou_kawaeng-10-recording.avi
5196658425	SMP	1	554.87	881.21	00:00:01:07		Fixation	katou_kawaeng-10-recording.avi
5196691739	SMP	1	574.52	861.63	00:00:01:08		Fixation	katou_kawaeng-10-recording.avi
5196725345	SMP	1	583.03	852.61	00:00:01:09		Saccade	katou_kawaeng-10-recording.avi
5196759091	SMP	1	501.07	905.45	00:00:01:09		Saccade	katou_kawaeng-10-recording.avi
5196795294	SMP	1	501.69	899.13	00:00:01:11		Fixation	katou_kawaeng-10-recording.avi
5196827334	SMP	1	505.84	883.80	00:00:01:12		Fixation	katou_kawaeng-10-recording.avi
5196858837	SMP	1	512.91	869.03	00:00:01:12		Fixation	katou_kawaeng-10-recording.avi
5196892034	SMP	1	514.75	855.62	00:00:01:13		Fixation	katou_kawaeng-10-recording.avi
5196924668	SMP	1	520.68	842.33	00:00:01:14		Saccade	katou_kawaeng-10-recording.avi
5196957983	SMP	1	489.26	815.90	00:00:01:15		Saccade	katou_kawaeng-10-recording.avi
5196991494	SMP	1	489.43	810.47	00:00:01:16		Fixation	katou_kawaeng-10-recording.avi
5197024858	SMP	1	492.41	806.66	00:00:01:17		Fixation	katou_kawaeng-10-recording.avi
5197058836	SMP	1	491.77	803.05	00:00:01:17		Saccade	katou_kawaeng-10-recording.avi
5197091590	SMP	1	433.11	788.13	00:00:01:18		Saccade	katou_kawaeng-10-recording.avi
5197124397	SMP	1	431.25	776.33	00:00:01:19		Fixation	katou_kawaeng-10-recording.avi
