## [BeGaze]
## Converted from:	\\disk001\impdatadoc\eyedata\kawaichi-[c14cb7d6-0575-4664-8838-9560be4dcfb7]\kawaichi-18-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9390
## Reversed:	none
## [Run]
## Subject:	kawaich (17)
## Description:	Run18
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
12646997104	SMP	1	928.44	298.83	00:00:00:01		Fixation	kawaichi-18-recording.avi
12647031852	SMP	1	923.90	307.86	00:00:00:02		Fixation	kawaichi-18-recording.avi
12647057521	SMP	1	918.95	317.45	00:00:00:03		Fixation	kawaichi-18-recording.avi
12647097980	SMP	1	912.99	327.90	00:00:00:04		Fixation	kawaichi-18-recording.avi
12647158446	SMP	1	855.33	341.65	00:00:00:06		Saccade	kawaichi-18-recording.avi
12647191344	SMP	1	768.15	317.81	00:00:00:07		Saccade	kawaichi-18-recording.avi
12647224011	SMP	1	734.89	309.15	00:00:00:07		Fixation	kawaichi-18-recording.avi
12647256934	SMP	1	742.90	309.86	00:00:00:08		Fixation	kawaichi-18-recording.avi
12647291292	SMP	1	752.46	315.66	00:00:00:09		Fixation	kawaichi-18-recording.avi
12647323723	SMP	1	767.44	322.49	00:00:00:09		Saccade	kawaichi-18-recording.avi
12647357401	SMP	1	780.56	332.08	00:00:00:10		Saccade	kawaichi-18-recording.avi
12647390209	SMP	1	692.98	369.68	00:00:00:11		Saccade	kawaichi-18-recording.avi
12647423411	SMP	1	644.00	390.60	00:00:00:12		Fixation	kawaichi-18-recording.avi
12647456657	SMP	1	651.75	395.16	00:00:00:13		Fixation	kawaichi-18-recording.avi
12647491456	SMP	1	657.63	405.00	00:00:00:14		Fixation	kawaichi-18-recording.avi
12647525694	SMP	1	665.06	412.09	00:00:00:14		Fixation	kawaichi-18-recording.avi
12647557168	SMP	1	670.08	419.18	00:00:00:15		Fixation	kawaichi-18-recording.avi
12647590250	SMP	1	667.66	427.67	00:00:00:16		Saccade	kawaichi-18-recording.avi
12647622989	SMP	1	626.78	505.33	00:00:00:17		Saccade	kawaichi-18-recording.avi
12647656899	SMP	1	620.59	502.68	00:00:00:18		Fixation	kawaichi-18-recording.avi
12647689680	SMP	1	616.45	499.79	00:00:00:18		Fixation	kawaichi-18-recording.avi
12647722731	SMP	1	613.70	497.41	00:00:00:19		Saccade	kawaichi-18-recording.avi
12647756108	SMP	1	655.87	505.73	00:00:00:19		Saccade	kawaichi-18-recording.avi
12647789388	SMP	1	667.49	500.48	00:00:00:20		Fixation	kawaichi-18-recording.avi
12647822534	SMP	1	667.68	496.42	00:00:00:21		Fixation	kawaichi-18-recording.avi
12647856382	SMP	1	667.85	488.94	00:00:00:22		Fixation	kawaichi-18-recording.avi
12647890221	SMP	1	668.70	481.75	00:00:00:23		Fixation	kawaichi-18-recording.avi
12647922943	SMP	1	668.96	476.05	00:00:01:00		Fixation	kawaichi-18-recording.avi
12647956049	SMP	1	672.12	472.33	00:00:01:01		Fixation	kawaichi-18-recording.avi
12647989381	SMP	1	669.63	470.31	00:00:01:02		Fixation	kawaichi-18-recording.avi
12648022532	SMP	1	668.34	468.14	00:00:01:02		Fixation	kawaichi-18-recording.avi
12648055472	SMP	1	666.00	467.83	00:00:01:03		Saccade	kawaichi-18-recording.avi
12648088918	SMP	1	685.35	468.55	00:00:01:04		Saccade	kawaichi-18-recording.avi
