## [BeGaze]
## Converted from:	D:\Recorded Data\kitano_eng-[3ed415b0-089b-44d4-b099-2b84f43e6f17]\kitano_eng-1-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13679
## Reversed:	none
## [Run]
## Subject:	kitano_eng
## Description:	Run001
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
2061474084	SMP	1	575.81	838.32	00:00:00:00		Fixation	kitano_eng-1-recording.avi
2061507600	SMP	1	575.51	834.09	00:00:00:00		Fixation	kitano_eng-1-recording.avi
2061541224	SMP	1	581.34	831.73	00:00:00:02		Fixation	kitano_eng-1-recording.avi
2061573671	SMP	1	582.34	823.87	00:00:00:03		Fixation	kitano_eng-1-recording.avi
2061607027	SMP	1	586.83	821.86	00:00:00:03		Fixation	kitano_eng-1-recording.avi
2061640389	SMP	1	589.00	812.91	00:00:00:04		Fixation	kitano_eng-1-recording.avi
2061673577	SMP	1	596.73	804.73	00:00:00:05		Saccade	kitano_eng-1-recording.avi
2061707804	SMP	1	600.21	789.38	00:00:00:06		Saccade	kitano_eng-1-recording.avi
2061740883	SMP	1	610.58	793.42	00:00:00:06		Saccade	kitano_eng-1-recording.avi
2061774597	SMP	1	735.03	792.46	00:00:00:07		Saccade	kitano_eng-1-recording.avi
2061806823	SMP	1	733.64	787.33	00:00:00:08		Saccade	kitano_eng-1-recording.avi
2061839850	SMP	1	738.00	780.66	00:00:00:09		Fixation	kitano_eng-1-recording.avi
2061873099	SMP	1	737.34	785.34	00:00:00:09		Fixation	kitano_eng-1-recording.avi
2061906984	SMP	1	741.42	786.30	00:00:00:10		Fixation	kitano_eng-1-recording.avi
2061941121	SMP	1	743.58	781.68	00:00:00:11		Fixation	kitano_eng-1-recording.avi
2061973811	SMP	1	740.79	782.28	00:00:00:12		Fixation	kitano_eng-1-recording.avi
2062006815	SMP	1	739.78	785.30	00:00:00:13		Fixation	kitano_eng-1-recording.avi
2062040574	SMP	1	740.73	786.19	00:00:00:14		Fixation	kitano_eng-1-recording.avi
2062073285	SMP	1	743.34	782.29	00:00:00:14		Fixation	kitano_eng-1-recording.avi
2062106021	SMP	1	744.77	780.92	00:00:00:15		Fixation	kitano_eng-1-recording.avi
2062139449	SMP	1	743.78	780.48	00:00:00:16		Fixation	kitano_eng-1-recording.avi
2062172671	SMP	1	745.69	776.19	00:00:00:17		Fixation	kitano_eng-1-recording.avi
2062206229	SMP	1	741.42	780.88	00:00:00:17		Fixation	kitano_eng-1-recording.avi
2062239279	SMP	1	743.38	780.64	00:00:00:18		Fixation	kitano_eng-1-recording.avi
2062272740	SMP	1	743.65	776.52	00:00:00:19		Fixation	kitano_eng-1-recording.avi
2062305814	SMP	1	737.93	773.87	00:00:00:20		Fixation	kitano_eng-1-recording.avi
2062339168	SMP	1	711.63	758.38	00:00:00:20		Fixation	kitano_eng-1-recording.avi
2062373009	SMP	1	679.31	739.62	00:00:00:22		Blink	kitano_eng-1-recording.avi
2062405924	SMP	1	663.33	720.20	00:00:00:23		Blink	kitano_eng-1-recording.avi
2062439544	SMP	1	660.45	708.64	00:00:00:23		Blink	kitano_eng-1-recording.avi
2062472267	SMP	1	635.72	774.67	00:00:01:00		Blink	kitano_eng-1-recording.avi
2062505765	SMP	1	0.00	0.00	00:00:01:01		Blink	kitano_eng-1-recording.avi
2062538774	SMP	1	731.59	7704.81	00:00:01:02		Blink	kitano_eng-1-recording.avi
2062572431	SMP	1	610.91	716.61	00:00:01:02		Blink	kitano_eng-1-recording.avi
2062605304	SMP	1	593.45	627.96	00:00:01:03		Blink	kitano_eng-1-recording.avi
2062639112	SMP	1	600.29	637.40	00:00:01:04		Blink	kitano_eng-1-recording.avi
2062672066	SMP	1	607.82	649.30	00:00:01:05		Blink	kitano_eng-1-recording.avi
2062705482	SMP	1	622.10	676.58	00:00:01:05		Blink	kitano_eng-1-recording.avi
2062738734	SMP	1	634.36	696.68	00:00:01:06		Blink	kitano_eng-1-recording.avi
2062772388	SMP	1	644.92	716.79	00:00:01:07		Fixation	kitano_eng-1-recording.avi
2062805035	SMP	1	646.96	734.71	00:00:01:08		Fixation	kitano_eng-1-recording.avi
2062838094	SMP	1	654.71	749.11	00:00:01:09		Fixation	kitano_eng-1-recording.avi
2062871906	SMP	1	655.26	758.84	00:00:01:10		Fixation	kitano_eng-1-recording.avi
2062904946	SMP	1	666.18	763.97	00:00:01:10		Saccade	kitano_eng-1-recording.avi
2062937841	SMP	1	689.14	807.43	00:00:01:11		Saccade	kitano_eng-1-recording.avi
2062971277	SMP	1	704.41	829.96	00:00:01:12		Fixation	kitano_eng-1-recording.avi
2063004794	SMP	1	709.17	825.44	00:00:01:13		Fixation	kitano_eng-1-recording.avi
2063038436	SMP	1	719.62	811.30	00:00:01:13		Fixation	kitano_eng-1-recording.avi
2063071140	SMP	1	722.39	815.37	00:00:01:14		Fixation	kitano_eng-1-recording.avi
2063104821	SMP	1	733.19	810.58	00:00:01:15		Fixation	kitano_eng-1-recording.avi
2063137675	SMP	1	747.76	799.63	00:00:01:15		Fixation	kitano_eng-1-recording.avi
2063171452	SMP	1	756.52	797.96	00:00:01:16		Fixation	kitano_eng-1-recording.avi
2063204580	SMP	1	757.73	801.45	00:00:01:17		Fixation	kitano_eng-1-recording.avi
2063237540	SMP	1	761.23	803.90	00:00:01:18		Fixation	kitano_eng-1-recording.avi
2063270903	SMP	1	757.53	806.27	00:00:01:19		Saccade	kitano_eng-1-recording.avi
2063304228	SMP	1	649.92	828.36	00:00:01:20		Saccade	kitano_eng-1-recording.avi
2063337359	SMP	1	624.16	831.45	00:00:01:21		Fixation	kitano_eng-1-recording.avi
2063370867	SMP	1	627.83	824.62	00:00:01:22		Fixation	kitano_eng-1-recording.avi
2063404606	SMP	1	626.53	823.44	00:00:01:22		Fixation	kitano_eng-1-recording.avi
2063437547	SMP	1	633.27	824.30	00:00:01:23		Fixation	kitano_eng-1-recording.avi
2063471251	SMP	1	635.01	820.74	00:00:02:00		Saccade	kitano_eng-1-recording.avi
2063537653	SMP	1	639.54	801.51	00:00:02:01		Saccade	kitano_eng-1-recording.avi
2063570857	SMP	1	646.29	798.42	00:00:02:02		Fixation	kitano_eng-1-recording.avi
2063605188	SMP	1	645.69	795.57	00:00:02:03		Fixation	kitano_eng-1-recording.avi
2063637756	SMP	1	654.23	794.98	00:00:02:04		Saccade	kitano_eng-1-recording.avi
2063670471	SMP	1	634.99	789.46	00:00:02:05		Saccade	kitano_eng-1-recording.avi
2063703446	SMP	1	640.54	785.73	00:00:02:06		Saccade	kitano_eng-1-recording.avi
