## [BeGaze]
## Converted from:	D:\Recorded Data\kitano_eng-[3ed415b0-089b-44d4-b099-2b84f43e6f17]\kitano_eng-6-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11216
## Reversed:	none
## [Run]
## Subject:	kitano_eng (5)
## Description:	Run006
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
4268804296	SMP	1	730.75	625.09	00:00:00:00		Saccade	kitano_eng-6-recording.avi
4268847664	SMP	1	724.95	591.30	00:00:00:01		Saccade	kitano_eng-6-recording.avi
4268872187	SMP	1	715.16	583.12	00:00:00:02		Fixation	kitano_eng-6-recording.avi
4268910519	SMP	1	708.96	596.32	00:00:00:03		Fixation	kitano_eng-6-recording.avi
4268938184	SMP	1	700.96	601.37	00:00:00:03		Fixation	kitano_eng-6-recording.avi
4268971451	SMP	1	694.08	614.43	00:00:00:04		Fixation	kitano_eng-6-recording.avi
4269004867	SMP	1	683.94	622.11	00:00:00:05		Fixation	kitano_eng-6-recording.avi
4269038019	SMP	1	675.37	626.85	00:00:00:06		Fixation	kitano_eng-6-recording.avi
4269070879	SMP	1	669.67	632.91	00:00:00:06		Fixation	kitano_eng-6-recording.avi
4269104332	SMP	1	665.51	636.90	00:00:00:07		Fixation	kitano_eng-6-recording.avi
4269137271	SMP	1	663.10	639.19	00:00:00:08		Fixation	kitano_eng-6-recording.avi
4269171724	SMP	1	661.03	644.01	00:00:00:09		Fixation	kitano_eng-6-recording.avi
4269204496	SMP	1	661.06	655.82	00:00:00:10		Saccade	kitano_eng-6-recording.avi
4269237328	SMP	1	654.07	739.77	00:00:00:11		Saccade	kitano_eng-6-recording.avi
4269270372	SMP	1	656.59	747.00	00:00:00:11		Fixation	kitano_eng-6-recording.avi
4269304395	SMP	1	652.61	748.53	00:00:00:12		Fixation	kitano_eng-6-recording.avi
4269337015	SMP	1	648.78	751.25	00:00:00:13		Fixation	kitano_eng-6-recording.avi
