## [BeGaze]
## Converted from:	U:\eyedata\okada_kawaeng-[d2303fc7-b9eb-4516-9e37-db04a5838b3d]\okada_kawaeng-22-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15518
## Reversed:	none
## [Run]
## Subject:	okada_kawaeng
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
8787791754	SMP	1	622.26	648.21	00:00:00:00		Fixation	okada_kawaeng-22-recording.avi
8787832040	SMP	1	627.05	648.91	00:00:00:01		Fixation	okada_kawaeng-22-recording.avi
8787888989	SMP	1	632.95	659.83	00:00:00:03		Fixation	okada_kawaeng-22-recording.avi
8787920928	SMP	1	633.05	665.80	00:00:00:03		Fixation	okada_kawaeng-22-recording.avi
8787954654	SMP	1	633.47	675.84	00:00:00:05		Fixation	okada_kawaeng-22-recording.avi
8787987556	SMP	1	628.11	686.54	00:00:00:05		Fixation	okada_kawaeng-22-recording.avi
8788021276	SMP	1	626.33	700.29	00:00:00:06		Fixation	okada_kawaeng-22-recording.avi
8788054216	SMP	1	623.81	709.34	00:00:00:07		Fixation	okada_kawaeng-22-recording.avi
8788087801	SMP	1	624.21	717.62	00:00:00:08		Fixation	okada_kawaeng-22-recording.avi
8788120627	SMP	1	628.19	714.44	00:00:00:09		Saccade	okada_kawaeng-22-recording.avi
8788154124	SMP	1	683.28	551.34	00:00:00:09		Saccade	okada_kawaeng-22-recording.avi
8788186989	SMP	1	685.93	527.03	00:00:00:10		Fixation	okada_kawaeng-22-recording.avi
8788220550	SMP	1	682.24	526.02	00:00:00:11		Fixation	okada_kawaeng-22-recording.avi
8788253637	SMP	1	676.20	526.71	00:00:00:11		Fixation	okada_kawaeng-22-recording.avi
8788287148	SMP	1	669.77	529.59	00:00:00:12		Fixation	okada_kawaeng-22-recording.avi
8788321931	SMP	1	665.32	534.85	00:00:00:13		Fixation	okada_kawaeng-22-recording.avi
8788353636	SMP	1	665.49	543.67	00:00:00:14		Saccade	okada_kawaeng-22-recording.avi
8788386727	SMP	1	670.35	552.89	00:00:00:14		Saccade	okada_kawaeng-22-recording.avi
8788419971	SMP	1	675.61	553.46	00:00:00:15		Fixation	okada_kawaeng-22-recording.avi
8788454021	SMP	1	681.89	555.12	00:00:00:16		Fixation	okada_kawaeng-22-recording.avi
8788486500	SMP	1	688.12	554.65	00:00:00:17		Fixation	okada_kawaeng-22-recording.avi
8788521021	SMP	1	698.47	555.30	00:00:00:18		Saccade	okada_kawaeng-22-recording.avi
8788553184	SMP	1	709.88	556.80	00:00:00:19		Saccade	okada_kawaeng-22-recording.avi
8788586571	SMP	1	721.66	561.77	00:00:00:20		Saccade	okada_kawaeng-22-recording.avi
8788619868	SMP	1	729.17	567.23	00:00:00:20		Fixation	okada_kawaeng-22-recording.avi
8788653074	SMP	1	735.32	580.28	00:00:00:21		Fixation	okada_kawaeng-22-recording.avi
8788686209	SMP	1	738.22	604.22	00:00:00:22		Fixation	okada_kawaeng-22-recording.avi
8788720327	SMP	1	736.55	632.24	00:00:00:23		Fixation	okada_kawaeng-22-recording.avi
8788752834	SMP	1	729.90	660.73	00:00:01:00		Saccade	okada_kawaeng-22-recording.avi
8788786113	SMP	1	667.63	652.04	00:00:01:00		Saccade	okada_kawaeng-22-recording.avi
8788825539	SMP	1	653.05	673.16	00:00:01:01		Fixation	okada_kawaeng-22-recording.avi
8788859244	SMP	1	651.05	688.58	00:00:01:02		Fixation	okada_kawaeng-22-recording.avi
8788896952	SMP	1	655.02	694.35	00:00:01:03		Fixation	okada_kawaeng-22-recording.avi
8788970018	SMP	1	654.31	689.62	00:00:01:05		Saccade	okada_kawaeng-22-recording.avi
8788986060	SMP	1	648.33	681.54	00:00:01:05		Saccade	okada_kawaeng-22-recording.avi
8789057070	SMP	1	632.87	649.66	00:00:01:07		Saccade	okada_kawaeng-22-recording.avi
8789086025	SMP	1	625.22	651.86	00:00:01:08		Fixation	okada_kawaeng-22-recording.avi
8789127276	SMP	1	623.22	656.84	00:00:01:08		Fixation	okada_kawaeng-22-recording.avi
8789163715	SMP	1	625.82	658.12	00:00:01:09		Fixation	okada_kawaeng-22-recording.avi
8789193902	SMP	1	628.07	657.74	00:00:01:10		Saccade	okada_kawaeng-22-recording.avi
8789222200	SMP	1	704.68	629.18	00:00:01:11		Saccade	okada_kawaeng-22-recording.avi
8789255791	SMP	1	728.63	617.20	00:00:01:11		Fixation	okada_kawaeng-22-recording.avi
8789285556	SMP	1	726.36	621.72	00:00:01:12		Fixation	okada_kawaeng-22-recording.avi
8789318762	SMP	1	725.96	627.26	00:00:01:13		Fixation	okada_kawaeng-22-recording.avi
8789351632	SMP	1	729.34	633.57	00:00:01:14		Saccade	okada_kawaeng-22-recording.avi
8789385149	SMP	1	712.60	631.20	00:00:01:15		Saccade	okada_kawaeng-22-recording.avi
8789419659	SMP	1	703.86	632.03	00:00:01:16		Fixation	okada_kawaeng-22-recording.avi
8789452284	SMP	1	698.96	633.10	00:00:01:16		Fixation	okada_kawaeng-22-recording.avi
8789519342	SMP	1	693.78	639.15	00:00:01:18		Saccade	okada_kawaeng-22-recording.avi
8789551747	SMP	1	681.84	639.26	00:00:01:19		Saccade	okada_kawaeng-22-recording.avi
8789584658	SMP	1	683.91	642.29	00:00:01:19		Saccade	okada_kawaeng-22-recording.avi
8789618067	SMP	1	689.52	642.62	00:00:01:20		Fixation	okada_kawaeng-22-recording.avi
8789651494	SMP	1	693.77	638.89	00:00:01:21		Fixation	okada_kawaeng-22-recording.avi
8789685154	SMP	1	696.06	634.71	00:00:01:22		Fixation	okada_kawaeng-22-recording.avi
8789718765	SMP	1	695.56	630.11	00:00:01:23		Fixation	okada_kawaeng-22-recording.avi
8789751083	SMP	1	694.25	625.41	00:00:02:00		Fixation	okada_kawaeng-22-recording.avi
8789784573	SMP	1	695.14	624.38	00:00:02:00		Fixation	okada_kawaeng-22-recording.avi
8789817752	SMP	1	693.38	620.27	00:00:02:01		Saccade	okada_kawaeng-22-recording.avi
8789850838	SMP	1	693.62	612.22	00:00:02:02		Saccade	okada_kawaeng-22-recording.avi
8789884120	SMP	1	689.90	609.39	00:00:02:03		Fixation	okada_kawaeng-22-recording.avi
8789917469	SMP	1	687.10	606.84	00:00:02:04		Fixation	okada_kawaeng-22-recording.avi
8789950841	SMP	1	684.38	604.96	00:00:02:04		Fixation	okada_kawaeng-22-recording.avi
8789983947	SMP	1	685.77	606.09	00:00:02:05		Saccade	okada_kawaeng-22-recording.avi
8790017774	SMP	1	725.56	614.67	00:00:02:06		Saccade	okada_kawaeng-22-recording.avi
8790050477	SMP	1	728.87	612.88	00:00:02:06		Saccade	okada_kawaeng-22-recording.avi
8790083956	SMP	1	728.85	605.16	00:00:02:07		-	okada_kawaeng-22-recording.avi
8790178991	SMP	1	714.16	586.66	00:00:02:08		Saccade	okada_kawaeng-22-recording.avi
8790185562	SMP	1	702.90	578.90	00:00:02:08		Saccade	okada_kawaeng-22-recording.avi
8790217071	SMP	1	694.27	576.77	00:00:02:10		Saccade	okada_kawaeng-22-recording.avi
8790257970	SMP	1	646.22	569.02	00:00:02:12		Fixation	okada_kawaeng-22-recording.avi
8790283607	SMP	1	647.26	570.64	00:00:02:12		Fixation	okada_kawaeng-22-recording.avi
8790356445	SMP	1	651.86	572.89	00:00:02:14		Fixation	okada_kawaeng-22-recording.avi
8790383538	SMP	1	652.77	573.02	00:00:02:15		Fixation	okada_kawaeng-22-recording.avi
8790416617	SMP	1	655.34	573.27	00:00:02:15		Fixation	okada_kawaeng-22-recording.avi
8790454871	SMP	1	656.88	573.08	00:00:02:16		Fixation	okada_kawaeng-22-recording.avi
8790485613	SMP	1	656.70	570.87	00:00:02:17		Fixation	okada_kawaeng-22-recording.avi
8790516789	SMP	1	658.24	569.68	00:00:02:18		Fixation	okada_kawaeng-22-recording.avi
8790550758	SMP	1	658.07	568.65	00:00:02:19		Fixation	okada_kawaeng-22-recording.avi
8790583061	SMP	1	657.16	568.35	00:00:02:19		Fixation	okada_kawaeng-22-recording.avi
8790616121	SMP	1	658.45	571.01	00:00:02:20		Fixation	okada_kawaeng-22-recording.avi
8790649763	SMP	1	660.14	572.37	00:00:02:21		Fixation	okada_kawaeng-22-recording.avi
8790682956	SMP	1	662.71	573.74	00:00:02:22		Saccade	okada_kawaeng-22-recording.avi
8790716943	SMP	1	691.39	579.91	00:00:02:22		Saccade	okada_kawaeng-22-recording.avi
8790751013	SMP	1	708.99	578.66	00:00:02:23		Fixation	okada_kawaeng-22-recording.avi
8790782724	SMP	1	707.63	574.46	00:00:03:00		Fixation	okada_kawaeng-22-recording.avi
8790816525	SMP	1	705.88	566.82	00:00:03:01		Fixation	okada_kawaeng-22-recording.avi
8790849191	SMP	1	703.64	559.86	00:00:03:02		Fixation	okada_kawaeng-22-recording.avi
8790882551	SMP	1	701.39	550.97	00:00:03:02		Saccade	okada_kawaeng-22-recording.avi
8790915686	SMP	1	701.17	542.97	00:00:03:03		Saccade	okada_kawaeng-22-recording.avi
8790950141	SMP	1	703.94	530.35	00:00:03:04		Saccade	okada_kawaeng-22-recording.avi
8790983338	SMP	1	707.38	520.71	00:00:03:05		Fixation	okada_kawaeng-22-recording.avi
8791015616	SMP	1	714.39	511.82	00:00:03:06		Fixation	okada_kawaeng-22-recording.avi
