## [BeGaze]
## Converted from:	U:\eyedata\okada_kawaeng-[d2303fc7-b9eb-4516-9e37-db04a5838b3d]\okada_kawaeng-26-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10136
## Reversed:	none
## [Run]
## Subject:	okada_kawaeng (4)
## Description:	Run5
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
10693244567	SMP	1	785.05	586.29	00:00:00:01		Fixation	okada_kawaeng-26-recording.avi
10693276525	SMP	1	791.34	591.71	00:00:00:01		Fixation	okada_kawaeng-26-recording.avi
10693309747	SMP	1	798.53	600.76	00:00:00:02		Fixation	okada_kawaeng-26-recording.avi
10693343588	SMP	1	803.46	610.76	00:00:00:03		Fixation	okada_kawaeng-26-recording.avi
10693376230	SMP	1	806.24	617.60	00:00:00:04		Fixation	okada_kawaeng-26-recording.avi
10693409514	SMP	1	807.33	623.79	00:00:00:05		Fixation	okada_kawaeng-26-recording.avi
10693442931	SMP	1	806.76	629.63	00:00:00:05		Fixation	okada_kawaeng-26-recording.avi
10693475749	SMP	1	803.56	632.79	00:00:00:06		Fixation	okada_kawaeng-26-recording.avi
10693509018	SMP	1	799.26	633.48	00:00:00:07		Fixation	okada_kawaeng-26-recording.avi
10693542984	SMP	1	795.06	629.14	00:00:00:08		Fixation	okada_kawaeng-26-recording.avi
10693577159	SMP	1	790.27	622.95	00:00:00:09		Fixation	okada_kawaeng-26-recording.avi
10693610175	SMP	1	786.04	616.85	00:00:00:10		Fixation	okada_kawaeng-26-recording.avi
10693642112	SMP	1	780.78	609.53	00:00:00:10		Fixation	okada_kawaeng-26-recording.avi
10693675676	SMP	1	775.51	603.04	00:00:00:11		Saccade	okada_kawaeng-26-recording.avi
10693708620	SMP	1	770.78	594.69	00:00:00:12		Saccade	okada_kawaeng-26-recording.avi
10693741996	SMP	1	764.69	589.74	00:00:00:13		Saccade	okada_kawaeng-26-recording.avi
10693775216	SMP	1	760.34	578.05	00:00:00:14		Blink	okada_kawaeng-26-recording.avi
10693808811	SMP	1	764.41	486.95	00:00:00:14		Blink	okada_kawaeng-26-recording.avi
10693841872	SMP	1	743.41	600.50	00:00:00:15		Blink	okada_kawaeng-26-recording.avi
10693875281	SMP	1	752.30	615.15	00:00:00:16		Fixation	okada_kawaeng-26-recording.avi
10693908888	SMP	1	750.89	610.45	00:00:00:17		Fixation	okada_kawaeng-26-recording.avi
10693941589	SMP	1	751.57	603.82	00:00:00:18		Fixation	okada_kawaeng-26-recording.avi
10693975343	SMP	1	756.67	604.16	00:00:00:18		Fixation	okada_kawaeng-26-recording.avi
10694008546	SMP	1	760.55	605.82	00:00:00:19		Fixation	okada_kawaeng-26-recording.avi
10694041356	SMP	1	761.96	614.64	00:00:00:20		Saccade	okada_kawaeng-26-recording.avi
10694074781	SMP	1	764.90	629.30	00:00:00:21		Saccade	okada_kawaeng-26-recording.avi
10694109036	SMP	1	765.93	637.22	00:00:00:21		Saccade	okada_kawaeng-26-recording.avi
10694141543	SMP	1	778.48	606.48	00:00:00:22		Saccade	okada_kawaeng-26-recording.avi
10694174478	SMP	1	763.10	618.70	00:00:00:23		Fixation	okada_kawaeng-26-recording.avi
10694207905	SMP	1	747.70	629.47	00:00:01:00		Fixation	okada_kawaeng-26-recording.avi
10694241081	SMP	1	731.58	637.95	00:00:01:01		Fixation	okada_kawaeng-26-recording.avi
10694274287	SMP	1	710.99	645.10	00:00:01:01		Saccade	okada_kawaeng-26-recording.avi
10694307695	SMP	1	617.13	639.85	00:00:01:02		Saccade	okada_kawaeng-26-recording.avi
10694341093	SMP	1	598.72	642.20	00:00:01:03		Fixation	okada_kawaeng-26-recording.avi
10694374566	SMP	1	590.88	641.78	00:00:01:04		Fixation	okada_kawaeng-26-recording.avi
10694407708	SMP	1	593.64	640.67	00:00:01:05		Saccade	okada_kawaeng-26-recording.avi
10694440746	SMP	1	545.74	645.25	00:00:01:05		Saccade	okada_kawaeng-26-recording.avi
10694474421	SMP	1	547.68	639.24	00:00:01:06		Saccade	okada_kawaeng-26-recording.avi
10694507374	SMP	1	569.39	631.40	00:00:01:07		Fixation	okada_kawaeng-26-recording.avi
10694540737	SMP	1	593.28	626.63	00:00:01:08		Fixation	okada_kawaeng-26-recording.avi
10694574698	SMP	1	616.55	624.87	00:00:01:09		Fixation	okada_kawaeng-26-recording.avi
10694607229	SMP	1	626.20	624.60	00:00:01:09		Fixation	okada_kawaeng-26-recording.avi
10694640615	SMP	1	611.98	620.51	00:00:01:10		Fixation	okada_kawaeng-26-recording.avi
10694673964	SMP	1	627.02	618.22	00:00:01:11		Fixation	okada_kawaeng-26-recording.avi
10694707956	SMP	1	635.00	613.42	00:00:01:12		Fixation	okada_kawaeng-26-recording.avi
10694741451	SMP	1	639.52	612.28	00:00:01:13		Fixation	okada_kawaeng-26-recording.avi
10694773555	SMP	1	640.93	607.87	00:00:01:13		Fixation	okada_kawaeng-26-recording.avi
10694806980	SMP	1	640.60	606.56	00:00:01:14		Fixation	okada_kawaeng-26-recording.avi
10694840655	SMP	1	641.33	604.83	00:00:01:15		Fixation	okada_kawaeng-26-recording.avi
10694873302	SMP	1	642.55	602.97	00:00:01:16		Fixation	okada_kawaeng-26-recording.avi
10694906792	SMP	1	642.83	600.80	00:00:01:17		Fixation	okada_kawaeng-26-recording.avi
10694939995	SMP	1	643.40	601.26	00:00:01:17		Saccade	okada_kawaeng-26-recording.avi
10694973381	SMP	1	634.77	599.95	00:00:01:18		Saccade	okada_kawaeng-26-recording.avi
10695007255	SMP	1	633.89	599.37	00:00:01:19		Fixation	okada_kawaeng-26-recording.avi
10695039781	SMP	1	633.65	599.26	00:00:01:19		Fixation	okada_kawaeng-26-recording.avi
