## [BeGaze]
## Converted from:	\\disk001\impdatadoc\eyedata\sakano-[e620a92a-c611-4159-b118-5cb009910cea]\sakano-1-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8831
## Reversed:	none
## [Run]
## Subject:	sakano
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
500883771	SMP	1	562.21	480.20	00:00:00:00		Fixation	sakano-1-recording.avi
500921070	SMP	1	558.87	484.10	00:00:00:01		Fixation	sakano-1-recording.avi
500959352	SMP	1	554.82	488.37	00:00:00:02		Fixation	sakano-1-recording.avi
500984160	SMP	1	552.68	497.02	00:00:00:04		Fixation	sakano-1-recording.avi
501015089	SMP	1	547.08	501.78	00:00:00:04		Fixation	sakano-1-recording.avi
501054681	SMP	1	539.01	514.14	00:00:00:05		Fixation	sakano-1-recording.avi
501117929	SMP	1	531.38	521.84	00:00:00:07		Saccade	sakano-1-recording.avi
501181485	SMP	1	671.31	548.62	00:00:00:08		Saccade	sakano-1-recording.avi
501215262	SMP	1	675.10	548.49	00:00:00:09		Fixation	sakano-1-recording.avi
501247788	SMP	1	677.66	546.73	00:00:00:10		Fixation	sakano-1-recording.avi
501281100	SMP	1	681.08	546.68	00:00:00:10		Fixation	sakano-1-recording.avi
501314406	SMP	1	683.30	548.60	00:00:00:11		Saccade	sakano-1-recording.avi
501348137	SMP	1	693.02	552.60	00:00:00:12		Saccade	sakano-1-recording.avi
501381902	SMP	1	696.15	556.08	00:00:00:13		Fixation	sakano-1-recording.avi
501414201	SMP	1	699.92	557.59	00:00:00:14		Fixation	sakano-1-recording.avi
501447720	SMP	1	705.30	557.44	00:00:00:14		Fixation	sakano-1-recording.avi
501480697	SMP	1	711.17	556.09	00:00:00:15		Fixation	sakano-1-recording.avi
501514692	SMP	1	716.08	555.96	00:00:00:16		Fixation	sakano-1-recording.avi
501547192	SMP	1	721.70	555.81	00:00:00:17		Fixation	sakano-1-recording.avi
501580537	SMP	1	724.01	556.80	00:00:00:18		Fixation	sakano-1-recording.avi
501613903	SMP	1	729.22	555.80	00:00:00:19		Fixation	sakano-1-recording.avi
501647177	SMP	1	731.63	551.92	00:00:00:19		Fixation	sakano-1-recording.avi
501680522	SMP	1	733.28	542.06	00:00:00:20		Saccade	sakano-1-recording.avi
501713488	SMP	1	727.30	532.55	00:00:00:21		Saccade	sakano-1-recording.avi
501747501	SMP	1	720.65	524.51	00:00:00:22		Fixation	sakano-1-recording.avi
501781560	SMP	1	710.14	510.96	00:00:00:22		Fixation	sakano-1-recording.avi
501815324	SMP	1	698.09	497.63	00:00:00:23		Fixation	sakano-1-recording.avi
501847803	SMP	1	686.39	486.09	00:00:01:00		Fixation	sakano-1-recording.avi
501880786	SMP	1	675.76	479.51	00:00:01:01		Fixation	sakano-1-recording.avi
