## [BeGaze]
## Converted from:	\\disk001\impdatadoc\eyedata\sakano-[e620a92a-c611-4159-b118-5cb009910cea]\sakano-9-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	11963
## Reversed:	none
## [Run]
## Subject:	sakano (16)
## Description:	Run17
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
4331739456	SMP	1	658.57	485.27	00:00:00:00		Saccade	sakano-9-recording.avi
4331772773	SMP	1	670.93	465.66	00:00:00:01		Saccade	sakano-9-recording.avi
4331808979	SMP	1	669.05	465.60	00:00:00:01		Fixation	sakano-9-recording.avi
4331840341	SMP	1	669.37	467.52	00:00:00:02		Fixation	sakano-9-recording.avi
4331872666	SMP	1	664.00	470.79	00:00:00:03		Fixation	sakano-9-recording.avi
4331905830	SMP	1	666.52	479.93	00:00:00:04		Saccade	sakano-9-recording.avi
4331939044	SMP	1	752.34	521.28	00:00:00:04		Saccade	sakano-9-recording.avi
4331972539	SMP	1	764.56	534.48	00:00:00:05		Fixation	sakano-9-recording.avi
4332007803	SMP	1	765.33	538.85	00:00:00:06		Fixation	sakano-9-recording.avi
4332072250	SMP	1	753.87	543.55	00:00:00:08		Fixation	sakano-9-recording.avi
4332105980	SMP	1	746.92	545.58	00:00:00:09		Fixation	sakano-9-recording.avi
4332138948	SMP	1	740.40	546.39	00:00:00:09		Fixation	sakano-9-recording.avi
4332172151	SMP	1	733.77	546.15	00:00:00:10		Fixation	sakano-9-recording.avi
4332205249	SMP	1	730.36	542.64	00:00:00:11		Fixation	sakano-9-recording.avi
4332238573	SMP	1	729.50	547.49	00:00:00:11		Blink	sakano-9-recording.avi
4332271963	SMP	1	731.97	548.20	00:00:00:12		Blink	sakano-9-recording.avi
4332305392	SMP	1	728.24	566.67	00:00:00:13		Blink	sakano-9-recording.avi
4332338394	SMP	1	698.11	482.31	00:00:00:14		Blink	sakano-9-recording.avi
4332371754	SMP	1	730.61	381.33	00:00:00:15		Blink	sakano-9-recording.avi
4332405230	SMP	1	716.71	563.76	00:00:00:15		Blink	sakano-9-recording.avi
4332438272	SMP	1	714.04	563.52	00:00:00:17		Blink	sakano-9-recording.avi
4332472217	SMP	1	1058.51	726.37	00:00:00:18		Blink	sakano-9-recording.avi
