## [BeGaze]
## Converted from:	U:\eyedata\sato_kawaeng-[2f692853-b3f3-4a2f-9d34-88fa181448ca]\sato_kawaeng-1-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9979
## Reversed:	none
## [Run]
## Subject:	sato_kawaeng
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
359736445	SMP	1	569.78	720.92	00:00:00:01		Saccade	sato_kawaeng-1-recording.avi
359770250	SMP	1	566.01	728.92	00:00:00:02		Saccade	sato_kawaeng-1-recording.avi
359807601	SMP	1	570.80	725.15	00:00:00:03		Saccade	sato_kawaeng-1-recording.avi
359836601	SMP	1	576.14	716.84	00:00:00:04		Fixation	sato_kawaeng-1-recording.avi
359869455	SMP	1	584.07	717.43	00:00:00:05		Fixation	sato_kawaeng-1-recording.avi
359902964	SMP	1	589.35	711.23	00:00:00:05		Fixation	sato_kawaeng-1-recording.avi
359936137	SMP	1	594.28	714.89	00:00:00:06		Fixation	sato_kawaeng-1-recording.avi
359970133	SMP	1	598.45	722.08	00:00:00:07		Fixation	sato_kawaeng-1-recording.avi
360002660	SMP	1	602.58	724.83	00:00:00:08		Fixation	sato_kawaeng-1-recording.avi
360035897	SMP	1	601.78	731.13	00:00:00:09		Fixation	sato_kawaeng-1-recording.avi
360069418	SMP	1	603.39	734.90	00:00:00:09		Fixation	sato_kawaeng-1-recording.avi
360102521	SMP	1	602.25	737.29	00:00:00:10		Saccade	sato_kawaeng-1-recording.avi
360136410	SMP	1	604.74	730.55	00:00:00:11		Saccade	sato_kawaeng-1-recording.avi
360168843	SMP	1	606.17	728.85	00:00:00:11		Fixation	sato_kawaeng-1-recording.avi
360202328	SMP	1	609.33	722.23	00:00:00:13		Fixation	sato_kawaeng-1-recording.avi
360235775	SMP	1	620.14	717.02	00:00:00:13		Fixation	sato_kawaeng-1-recording.avi
360269017	SMP	1	563.04	697.77	00:00:00:14		Saccade	sato_kawaeng-1-recording.avi
360305358	SMP	1	464.51	641.59	00:00:00:15		Saccade	sato_kawaeng-1-recording.avi
360335338	SMP	1	474.42	635.00	00:00:00:16		Fixation	sato_kawaeng-1-recording.avi
360368604	SMP	1	482.85	635.51	00:00:00:17		Fixation	sato_kawaeng-1-recording.avi
360402269	SMP	1	488.56	629.93	00:00:00:17		Fixation	sato_kawaeng-1-recording.avi
360435200	SMP	1	497.01	633.43	00:00:00:18		Saccade	sato_kawaeng-1-recording.avi
360469085	SMP	1	496.03	642.11	00:00:00:19		Saccade	sato_kawaeng-1-recording.avi
360501669	SMP	1	514.95	650.95	00:00:00:20		Saccade	sato_kawaeng-1-recording.avi
360534863	SMP	1	521.06	643.81	00:00:00:21		Saccade	sato_kawaeng-1-recording.avi
360568540	SMP	1	529.11	644.05	00:00:00:21		Fixation	sato_kawaeng-1-recording.avi
360601579	SMP	1	534.58	648.36	00:00:00:22		Fixation	sato_kawaeng-1-recording.avi
360635254	SMP	1	539.49	650.93	00:00:00:23		Fixation	sato_kawaeng-1-recording.avi
360668575	SMP	1	540.20	649.95	00:00:01:00		Fixation	sato_kawaeng-1-recording.avi
360701531	SMP	1	534.85	653.54	00:00:01:01		Fixation	sato_kawaeng-1-recording.avi
360734621	SMP	1	529.15	655.26	00:00:01:01		Saccade	sato_kawaeng-1-recording.avi
360767919	SMP	1	527.38	661.67	00:00:01:02		Saccade	sato_kawaeng-1-recording.avi
360801622	SMP	1	530.40	662.17	00:00:01:03		Fixation	sato_kawaeng-1-recording.avi
360835421	SMP	1	534.87	666.94	00:00:01:04		Fixation	sato_kawaeng-1-recording.avi
360867749	SMP	1	545.12	665.43	00:00:01:05		Saccade	sato_kawaeng-1-recording.avi
360901093	SMP	1	554.45	655.31	00:00:01:05		Saccade	sato_kawaeng-1-recording.avi
360934539	SMP	1	568.04	657.22	00:00:01:06		Fixation	sato_kawaeng-1-recording.avi
360968396	SMP	1	584.72	658.86	00:00:01:07		Fixation	sato_kawaeng-1-recording.avi
361001465	SMP	1	599.74	658.14	00:00:01:08		Fixation	sato_kawaeng-1-recording.avi
361034140	SMP	1	613.15	653.75	00:00:01:09		Fixation	sato_kawaeng-1-recording.avi
361067667	SMP	1	622.52	656.55	00:00:01:09		Fixation	sato_kawaeng-1-recording.avi
361100572	SMP	1	629.07	661.65	00:00:01:10		Saccade	sato_kawaeng-1-recording.avi
361134405	SMP	1	574.99	722.42	00:00:01:11		Saccade	sato_kawaeng-1-recording.avi
361167405	SMP	1	566.78	728.27	00:00:01:12		Fixation	sato_kawaeng-1-recording.avi
361200517	SMP	1	566.39	725.32	00:00:01:13		Fixation	sato_kawaeng-1-recording.avi
361233827	SMP	1	565.20	722.41	00:00:01:13		Fixation	sato_kawaeng-1-recording.avi
361267267	SMP	1	567.29	719.98	00:00:01:14		Fixation	sato_kawaeng-1-recording.avi
361300923	SMP	1	571.56	716.04	00:00:01:15		Saccade	sato_kawaeng-1-recording.avi
361366852	SMP	1	584.96	704.83	00:00:01:16		Saccade	sato_kawaeng-1-recording.avi
361400276	SMP	1	541.98	712.56	00:00:01:17		Saccade	sato_kawaeng-1-recording.avi
361433507	SMP	1	536.38	709.86	00:00:01:18		Fixation	sato_kawaeng-1-recording.avi
361466639	SMP	1	536.94	706.68	00:00:01:19		Fixation	sato_kawaeng-1-recording.avi
361500554	SMP	1	536.87	698.12	00:00:01:20		Fixation	sato_kawaeng-1-recording.avi
361533949	SMP	1	538.38	692.00	00:00:01:21		Fixation	sato_kawaeng-1-recording.avi
361568204	SMP	1	540.16	683.23	00:00:01:21		Saccade	sato_kawaeng-1-recording.avi
361600037	SMP	1	541.66	664.59	00:00:01:22		Saccade	sato_kawaeng-1-recording.avi
361633115	SMP	1	547.01	649.69	00:00:01:23		Fixation	sato_kawaeng-1-recording.avi
361666579	SMP	1	552.82	639.40	00:00:02:00		Fixation	sato_kawaeng-1-recording.avi
