## [BeGaze]
## Converted from:	U:\eyedata\sato_kawaeng-[2f692853-b3f3-4a2f-9d34-88fa181448ca]\sato_kawaeng-7-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10817
## Reversed:	none
## [Run]
## Subject:	sato_kawaeng (6)
## Description:	Run7
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
3918619906	SMP	1	950.03	658.19	00:00:00:00		Saccade	sato_kawaeng-7-recording.avi
3918651500	SMP	1	947.28	650.22	00:00:00:01		Saccade	sato_kawaeng-7-recording.avi
3918684652	SMP	1	944.28	650.14	00:00:00:02		Fixation	sato_kawaeng-7-recording.avi
3918720340	SMP	1	941.85	647.08	00:00:00:02		Fixation	sato_kawaeng-7-recording.avi
3918751320	SMP	1	938.20	645.68	00:00:00:03		Fixation	sato_kawaeng-7-recording.avi
3918784702	SMP	1	889.47	647.83	00:00:00:04		Fixation	sato_kawaeng-7-recording.avi
3918818224	SMP	1	636.07	627.66	00:00:00:05		Blink	sato_kawaeng-7-recording.avi
3918851292	SMP	1	597.25	611.05	00:00:00:06		Blink	sato_kawaeng-7-recording.avi
3918886140	SMP	1	598.03	603.21	00:00:00:06		Blink	sato_kawaeng-7-recording.avi
3918917740	SMP	1	599.49	603.95	00:00:00:07		Blink	sato_kawaeng-7-recording.avi
3918950915	SMP	1	0.00	0.00	00:00:00:08		Blink	sato_kawaeng-7-recording.avi
3918984561	SMP	1	0.00	0.00	00:00:00:09		Blink	sato_kawaeng-7-recording.avi
3919017653	SMP	1	608.21	519.92	00:00:00:10		Blink	sato_kawaeng-7-recording.avi
3919050677	SMP	1	633.38	564.38	00:00:00:10		Blink	sato_kawaeng-7-recording.avi
3919084058	SMP	1	646.31	569.01	00:00:00:11		Blink	sato_kawaeng-7-recording.avi
3919117201	SMP	1	654.25	569.49	00:00:00:12		Blink	sato_kawaeng-7-recording.avi
3919150572	SMP	1	659.82	568.60	00:00:00:13		Fixation	sato_kawaeng-7-recording.avi
3919183811	SMP	1	663.03	568.09	00:00:00:13		Fixation	sato_kawaeng-7-recording.avi
3919217017	SMP	1	661.82	565.50	00:00:00:14		Fixation	sato_kawaeng-7-recording.avi
3919250732	SMP	1	657.37	558.47	00:00:00:15		Fixation	sato_kawaeng-7-recording.avi
3919283705	SMP	1	653.40	552.66	00:00:00:16		Fixation	sato_kawaeng-7-recording.avi
3919316798	SMP	1	652.33	548.04	00:00:00:17		Fixation	sato_kawaeng-7-recording.avi
3919350142	SMP	1	651.65	544.25	00:00:00:17		Fixation	sato_kawaeng-7-recording.avi
3919383722	SMP	1	649.21	537.98	00:00:00:18		Saccade	sato_kawaeng-7-recording.avi
3919417465	SMP	1	643.00	574.78	00:00:00:19		Saccade	sato_kawaeng-7-recording.avi
3919449934	SMP	1	643.47	605.39	00:00:00:20		Fixation	sato_kawaeng-7-recording.avi
3919483252	SMP	1	647.51	595.10	00:00:00:21		Fixation	sato_kawaeng-7-recording.avi
3919516615	SMP	1	650.10	588.70	00:00:00:22		Fixation	sato_kawaeng-7-recording.avi
3919549883	SMP	1	650.25	579.26	00:00:00:22		Fixation	sato_kawaeng-7-recording.avi
3919583010	SMP	1	637.13	572.17	00:00:00:23		Saccade	sato_kawaeng-7-recording.avi
3919616771	SMP	1	595.39	554.07	00:00:01:00		Saccade	sato_kawaeng-7-recording.avi
3919649640	SMP	1	600.01	552.06	00:00:01:01		Fixation	sato_kawaeng-7-recording.avi
3919683372	SMP	1	603.38	549.90	00:00:01:01		Fixation	sato_kawaeng-7-recording.avi
3919715974	SMP	1	609.07	548.06	00:00:01:02		Saccade	sato_kawaeng-7-recording.avi
3919749635	SMP	1	615.65	546.39	00:00:01:03		Saccade	sato_kawaeng-7-recording.avi
3919783415	SMP	1	620.02	541.42	00:00:01:04		Fixation	sato_kawaeng-7-recording.avi
3919815904	SMP	1	624.35	535.89	00:00:01:04		Fixation	sato_kawaeng-7-recording.avi
3919849418	SMP	1	606.32	527.21	00:00:01:06		Fixation	sato_kawaeng-7-recording.avi
3919883855	SMP	1	609.45	516.46	00:00:01:06		Fixation	sato_kawaeng-7-recording.avi
3919916476	SMP	1	614.89	509.00	00:00:01:07		Fixation	sato_kawaeng-7-recording.avi
3919949264	SMP	1	622.95	505.66	00:00:01:08		Fixation	sato_kawaeng-7-recording.avi
3919983007	SMP	1	632.04	506.27	00:00:01:09		Fixation	sato_kawaeng-7-recording.avi
3920015973	SMP	1	640.10	504.18	00:00:01:09		Fixation	sato_kawaeng-7-recording.avi
3920049185	SMP	1	646.34	501.09	00:00:01:10		Fixation	sato_kawaeng-7-recording.avi
3920082269	SMP	1	653.22	496.88	00:00:01:11		Fixation	sato_kawaeng-7-recording.avi
3920115969	SMP	1	657.70	492.66	00:00:01:12		Fixation	sato_kawaeng-7-recording.avi
3920148750	SMP	1	663.47	491.37	00:00:01:12		Fixation	sato_kawaeng-7-recording.avi
3920182563	SMP	1	667.98	491.14	00:00:01:13		Fixation	sato_kawaeng-7-recording.avi
3920215483	SMP	1	671.33	493.23	00:00:01:14		Fixation	sato_kawaeng-7-recording.avi
3920249269	SMP	1	671.80	494.58	00:00:01:15		Fixation	sato_kawaeng-7-recording.avi
3920281931	SMP	1	674.24	497.83	00:00:01:16		Saccade	sato_kawaeng-7-recording.avi
3920315092	SMP	1	685.60	501.12	00:00:01:17		Saccade	sato_kawaeng-7-recording.avi
3920348357	SMP	1	680.45	499.98	00:00:01:18		Saccade	sato_kawaeng-7-recording.avi
3920381687	SMP	1	674.34	503.41	00:00:01:18		Fixation	sato_kawaeng-7-recording.avi
3920416082	SMP	1	669.10	503.90	00:00:01:19		Fixation	sato_kawaeng-7-recording.avi
3920448690	SMP	1	664.84	505.47	00:00:01:20		Fixation	sato_kawaeng-7-recording.avi
3920481788	SMP	1	660.25	503.12	00:00:01:21		Fixation	sato_kawaeng-7-recording.avi
3920514934	SMP	1	662.97	501.16	00:00:01:21		Fixation	sato_kawaeng-7-recording.avi
3920548483	SMP	1	667.33	498.28	00:00:01:22		Fixation	sato_kawaeng-7-recording.avi
3920581815	SMP	1	666.07	501.72	00:00:01:23		Fixation	sato_kawaeng-7-recording.avi
3920614785	SMP	1	664.60	505.85	00:00:02:00		Fixation	sato_kawaeng-7-recording.avi
3920648220	SMP	1	663.95	509.63	00:00:02:01		Fixation	sato_kawaeng-7-recording.avi
3920681094	SMP	1	661.75	513.94	00:00:02:02		Fixation	sato_kawaeng-7-recording.avi
3920715095	SMP	1	660.07	519.14	00:00:02:02		Fixation	sato_kawaeng-7-recording.avi
