## [BeGaze]
## Converted from:	\\disk001\impdatadoc\eyedata\suzuki-[f8a8705a-ca5d-482c-9b03-6e8f84f61047]\suzuki-24-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	15828
## Reversed:	none
## [Run]
## Subject:	suzuki
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
21028132768	SMP	1	631.15	727.09	00:00:00:00		Fixation	suzuki-24-recording.avi
21028171410	SMP	1	632.89	731.40	00:00:00:02		Fixation	suzuki-24-recording.avi
21028244801	SMP	1	644.59	727.56	00:00:00:04		Fixation	suzuki-24-recording.avi
21028264290	SMP	1	650.60	718.38	00:00:00:04		Fixation	suzuki-24-recording.avi
21028302105	SMP	1	646.32	704.46	00:00:00:05		Saccade	suzuki-24-recording.avi
21028326726	SMP	1	639.11	679.23	00:00:00:06		Saccade	suzuki-24-recording.avi
21028360350	SMP	1	626.52	655.20	00:00:00:07		Saccade	suzuki-24-recording.avi
21028393231	SMP	1	613.34	639.54	00:00:00:08		Fixation	suzuki-24-recording.avi
21028426725	SMP	1	602.86	632.92	00:00:00:08		Fixation	suzuki-24-recording.avi
21028460666	SMP	1	598.11	626.87	00:00:00:09		Fixation	suzuki-24-recording.avi
21028493157	SMP	1	590.53	626.85	00:00:00:10		Fixation	suzuki-24-recording.avi
21028526872	SMP	1	586.98	633.89	00:00:00:11		Fixation	suzuki-24-recording.avi
21028565822	SMP	1	569.68	604.42	00:00:00:12		Saccade	suzuki-24-recording.avi
21028593157	SMP	1	568.91	497.35	00:00:00:13		Saccade	suzuki-24-recording.avi
21028626038	SMP	1	571.37	522.76	00:00:00:13		Saccade	suzuki-24-recording.avi
21028659640	SMP	1	589.16	557.46	00:00:00:14		Fixation	suzuki-24-recording.avi
21028693311	SMP	1	590.96	577.39	00:00:00:15		Fixation	suzuki-24-recording.avi
21028729502	SMP	1	588.57	598.67	00:00:00:16		Fixation	suzuki-24-recording.avi
21028760359	SMP	1	589.87	621.26	00:00:00:17		Saccade	suzuki-24-recording.avi
21028794772	SMP	1	497.93	675.40	00:00:00:17		Saccade	suzuki-24-recording.avi
21028825606	SMP	1	500.06	702.61	00:00:00:18		Fixation	suzuki-24-recording.avi
21028858920	SMP	1	500.61	711.64	00:00:00:19		Fixation	suzuki-24-recording.avi
21028893397	SMP	1	438.69	701.83	00:00:00:20		Fixation	suzuki-24-recording.avi
21028925987	SMP	1	427.34	707.28	00:00:00:20		Fixation	suzuki-24-recording.avi
21028958456	SMP	1	435.31	704.39	00:00:00:21		Fixation	suzuki-24-recording.avi
