## [BeGaze]
## Converted from:	\\disk001\impdatadoc\eyedata\suzuki-[f8a8705a-ca5d-482c-9b03-6e8f84f61047]\suzuki-30-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10674
## Reversed:	none
## [Run]
## Subject:	suzuki (6)
## Description:	Run7
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
24390138399	SMP	1	0.00	0.00	00:00:00:00		Blink	suzuki-30-recording.avi
24390204983	SMP	1	0.00	0.00	00:00:00:01		Blink	suzuki-30-recording.avi
24390238341	SMP	1	0.00	0.00	00:00:00:02		Blink	suzuki-30-recording.avi
24390272510	SMP	1	-2585.95	4036.19	00:00:00:03		Blink	suzuki-30-recording.avi
24390305002	SMP	1	658.65	432.68	00:00:00:03		Blink	suzuki-30-recording.avi
24390338084	SMP	1	616.96	487.72	00:00:00:04		Blink	suzuki-30-recording.avi
24390371656	SMP	1	614.21	508.30	00:00:00:05		Blink	suzuki-30-recording.avi
24390404968	SMP	1	615.87	504.28	00:00:00:06		Blink	suzuki-30-recording.avi
24390437774	SMP	1	611.40	496.63	00:00:00:07		Blink	suzuki-30-recording.avi
24390471793	SMP	1	607.90	478.26	00:00:00:08		Fixation	suzuki-30-recording.avi
24390505071	SMP	1	599.40	465.91	00:00:00:08		Fixation	suzuki-30-recording.avi
24390537782	SMP	1	594.84	460.66	00:00:00:09		Saccade	suzuki-30-recording.avi
24390571367	SMP	1	634.93	459.27	00:00:00:10		Saccade	suzuki-30-recording.avi
24390604516	SMP	1	624.49	464.66	00:00:00:11		Fixation	suzuki-30-recording.avi
24390637750	SMP	1	619.95	474.87	00:00:00:11		Fixation	suzuki-30-recording.avi
24390670874	SMP	1	616.77	492.61	00:00:00:13		Fixation	suzuki-30-recording.avi
24390704036	SMP	1	620.89	509.20	00:00:00:13		Fixation	suzuki-30-recording.avi
24390737460	SMP	1	622.52	533.53	00:00:00:14		Fixation	suzuki-30-recording.avi
24390770973	SMP	1	625.80	554.24	00:00:00:15		Fixation	suzuki-30-recording.avi
24390804062	SMP	1	628.23	574.66	00:00:00:16		Fixation	suzuki-30-recording.avi
24390837585	SMP	1	630.02	592.43	00:00:00:16		Fixation	suzuki-30-recording.avi
24390874351	SMP	1	629.55	606.82	00:00:00:17		Fixation	suzuki-30-recording.avi
24390904022	SMP	1	628.07	608.25	00:00:00:18		Fixation	suzuki-30-recording.avi
24390936890	SMP	1	625.47	609.35	00:00:00:18		Saccade	suzuki-30-recording.avi
24390970185	SMP	1	587.80	630.81	00:00:00:19		Saccade	suzuki-30-recording.avi
24391003843	SMP	1	589.32	627.40	00:00:00:20		Fixation	suzuki-30-recording.avi
24391037484	SMP	1	585.94	632.92	00:00:00:21		Fixation	suzuki-30-recording.avi
24391070179	SMP	1	584.39	634.65	00:00:00:21		Fixation	suzuki-30-recording.avi
24391104235	SMP	1	582.66	637.31	00:00:00:23		Fixation	suzuki-30-recording.avi
24391137335	SMP	1	581.28	641.56	00:00:00:23		Fixation	suzuki-30-recording.avi
24391171452	SMP	1	578.15	644.08	00:00:01:00		Fixation	suzuki-30-recording.avi
24391203256	SMP	1	575.63	647.89	00:00:01:01		Fixation	suzuki-30-recording.avi
24391237061	SMP	1	577.65	653.20	00:00:01:02		Fixation	suzuki-30-recording.avi
24391269816	SMP	1	575.48	653.40	00:00:01:03		Fixation	suzuki-30-recording.avi
24391303019	SMP	1	575.42	652.97	00:00:01:03		Fixation	suzuki-30-recording.avi
24391338015	SMP	1	574.10	647.23	00:00:01:04		Fixation	suzuki-30-recording.avi
24391370310	SMP	1	576.02	646.97	00:00:01:05		Fixation	suzuki-30-recording.avi
24391403371	SMP	1	578.33	651.22	00:00:01:06		Fixation	suzuki-30-recording.avi
24391436555	SMP	1	584.82	652.48	00:00:01:07		Fixation	suzuki-30-recording.avi
24391469919	SMP	1	587.80	657.49	00:00:01:08		Saccade	suzuki-30-recording.avi
24391502955	SMP	1	595.44	662.39	00:00:01:08		Saccade	suzuki-30-recording.avi
24391535768	SMP	1	596.16	663.64	00:00:01:09		Saccade	suzuki-30-recording.avi
24391569292	SMP	1	597.72	660.41	00:00:01:10		Saccade	suzuki-30-recording.avi
24391602573	SMP	1	619.13	672.50	00:00:01:11		Saccade	suzuki-30-recording.avi
24391635871	SMP	1	615.18	672.89	00:00:01:12		Fixation	suzuki-30-recording.avi
24391669525	SMP	1	608.82	670.64	00:00:01:12		Fixation	suzuki-30-recording.avi
24391702238	SMP	1	601.93	670.11	00:00:01:13		Fixation	suzuki-30-recording.avi
24391736269	SMP	1	593.56	662.29	00:00:01:14		Saccade	suzuki-30-recording.avi
24391768869	SMP	1	583.56	656.30	00:00:01:15		Saccade	suzuki-30-recording.avi
24391802184	SMP	1	578.21	643.72	00:00:01:15		Saccade	suzuki-30-recording.avi
24391835591	SMP	1	580.07	630.76	00:00:01:16		Saccade	suzuki-30-recording.avi
24391868751	SMP	1	561.04	618.48	00:00:01:17		Fixation	suzuki-30-recording.avi
24391902351	SMP	1	558.31	614.75	00:00:01:17		Fixation	suzuki-30-recording.avi
24391935736	SMP	1	554.45	613.02	00:00:01:19		Fixation	suzuki-30-recording.avi
