## [BeGaze]
## Converted from:	D:\Recorded Data\tanaka_kawaeng-[137678e8-e757-4853-8202-7842510bc545]\tanaka_kawaeng-16-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	12590
## Reversed:	none
## [Run]
## Subject:	tanaka_kawaeng
## Description:	Run001
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
9034123038	SMP	1	323.99	705.15	00:00:00:01		Blink	tanaka_kawaeng-16-recording.avi
9034158747	SMP	1	312.55	712.48	00:00:00:02		Blink	tanaka_kawaeng-16-recording.avi
9034191605	SMP	1	301.52	719.97	00:00:00:02		Blink	tanaka_kawaeng-16-recording.avi
9034222926	SMP	1	437.80	685.79	00:00:00:03		Blink	tanaka_kawaeng-16-recording.avi
9034256663	SMP	1	741.78	666.40	00:00:00:04		Blink	tanaka_kawaeng-16-recording.avi
9034290051	SMP	1	0.00	0.00	00:00:00:05		Blink	tanaka_kawaeng-16-recording.avi
9034323151	SMP	1	888.38	635.85	00:00:00:05		Blink	tanaka_kawaeng-16-recording.avi
9034356234	SMP	1	862.64	619.29	00:00:00:06		Blink	tanaka_kawaeng-16-recording.avi
9034390779	SMP	1	835.64	594.41	00:00:00:07		Blink	tanaka_kawaeng-16-recording.avi
9034422696	SMP	1	812.37	601.19	00:00:00:08		Blink	tanaka_kawaeng-16-recording.avi
9034455991	SMP	1	790.72	604.92	00:00:00:09		Saccade	tanaka_kawaeng-16-recording.avi
9034489087	SMP	1	765.95	608.26	00:00:00:10		Saccade	tanaka_kawaeng-16-recording.avi
9034522540	SMP	1	744.79	611.05	00:00:00:11		Saccade	tanaka_kawaeng-16-recording.avi
9034555749	SMP	1	729.55	607.29	00:00:00:12		Saccade	tanaka_kawaeng-16-recording.avi
9034589945	SMP	1	862.13	594.09	00:00:00:12		Saccade	tanaka_kawaeng-16-recording.avi
9034622192	SMP	1	911.17	569.51	00:00:00:13		Saccade	tanaka_kawaeng-16-recording.avi
9034656333	SMP	1	896.20	558.63	00:00:00:14		Fixation	tanaka_kawaeng-16-recording.avi
9034688761	SMP	1	888.80	542.50	00:00:00:15		Fixation	tanaka_kawaeng-16-recording.avi
9034722119	SMP	1	879.61	534.59	00:00:00:15		Fixation	tanaka_kawaeng-16-recording.avi
9034755690	SMP	1	870.97	530.14	00:00:00:16		Fixation	tanaka_kawaeng-16-recording.avi
9034788601	SMP	1	865.31	523.02	00:00:00:17		Fixation	tanaka_kawaeng-16-recording.avi
9034822250	SMP	1	860.76	517.62	00:00:00:18		Fixation	tanaka_kawaeng-16-recording.avi
9034855671	SMP	1	856.01	511.49	00:00:00:18		Fixation	tanaka_kawaeng-16-recording.avi
9034888963	SMP	1	857.25	508.01	00:00:00:20		Blink	tanaka_kawaeng-16-recording.avi
9034922415	SMP	1	852.66	505.37	00:00:00:20		Blink	tanaka_kawaeng-16-recording.avi
9034954896	SMP	1	844.93	506.09	00:00:00:21		Blink	tanaka_kawaeng-16-recording.avi
9034988635	SMP	1	848.68	502.52	00:00:00:22		Blink	tanaka_kawaeng-16-recording.avi
9035022246	SMP	1	829.60	534.39	00:00:00:23		Blink	tanaka_kawaeng-16-recording.avi
9035055244	SMP	1	839.11	522.69	00:00:00:23		Blink	tanaka_kawaeng-16-recording.avi
9035088094	SMP	1	843.10	526.97	00:00:01:00		Blink	tanaka_kawaeng-16-recording.avi
9035121534	SMP	1	847.24	532.35	00:00:01:01		Blink	tanaka_kawaeng-16-recording.avi
9035154870	SMP	1	845.20	538.37	00:00:01:01		Blink	tanaka_kawaeng-16-recording.avi
9035188048	SMP	1	849.30	540.85	00:00:01:02		Blink	tanaka_kawaeng-16-recording.avi
9035221958	SMP	1	851.50	537.23	00:00:01:03		Blink	tanaka_kawaeng-16-recording.avi
9035254539	SMP	1	856.81	531.35	00:00:01:04		Blink	tanaka_kawaeng-16-recording.avi
9035288420	SMP	1	853.83	533.12	00:00:01:05		Blink	tanaka_kawaeng-16-recording.avi
9035321094	SMP	1	663.60	568.83	00:00:01:06		Blink	tanaka_kawaeng-16-recording.avi
9035354627	SMP	1	0.00	0.00	00:00:01:07		Blink	tanaka_kawaeng-16-recording.avi
9035389196	SMP	1	0.00	0.00	00:00:01:08		Blink	tanaka_kawaeng-16-recording.avi
9035421251	SMP	1	0.00	0.00	00:00:01:08		Blink	tanaka_kawaeng-16-recording.avi
9035455353	SMP	1	471.90	680.94	00:00:01:09		Blink	tanaka_kawaeng-16-recording.avi
9035487863	SMP	1	461.32	717.06	00:00:01:10		Blink	tanaka_kawaeng-16-recording.avi
9035520697	SMP	1	461.48	672.09	00:00:01:11		Blink	tanaka_kawaeng-16-recording.avi
9035554686	SMP	1	481.16	662.24	00:00:01:11		Blink	tanaka_kawaeng-16-recording.avi
9035587964	SMP	1	501.22	656.48	00:00:01:12		Blink	tanaka_kawaeng-16-recording.avi
9035621174	SMP	1	527.68	653.14	00:00:01:13		Saccade	tanaka_kawaeng-16-recording.avi
9035653727	SMP	1	555.08	645.59	00:00:01:14		Saccade	tanaka_kawaeng-16-recording.avi
9035687172	SMP	1	583.53	644.40	00:00:01:14		Fixation	tanaka_kawaeng-16-recording.avi
9035720529	SMP	1	607.61	653.70	00:00:01:15		Fixation	tanaka_kawaeng-16-recording.avi
9035754047	SMP	1	625.04	665.14	00:00:01:16		Saccade	tanaka_kawaeng-16-recording.avi
9035787443	SMP	1	791.69	612.14	00:00:01:17		Saccade	tanaka_kawaeng-16-recording.avi
9035820362	SMP	1	777.17	625.51	00:00:01:18		Saccade	tanaka_kawaeng-16-recording.avi
9035853656	SMP	1	771.30	638.63	00:00:01:19		Fixation	tanaka_kawaeng-16-recording.avi
9035886721	SMP	1	766.93	646.42	00:00:01:19		Fixation	tanaka_kawaeng-16-recording.avi
9035920022	SMP	1	760.27	652.45	00:00:01:20		Fixation	tanaka_kawaeng-16-recording.avi
9035953282	SMP	1	749.88	651.34	00:00:01:21		Fixation	tanaka_kawaeng-16-recording.avi
9035987249	SMP	1	743.31	646.95	00:00:01:21		Saccade	tanaka_kawaeng-16-recording.avi
9036019761	SMP	1	664.42	690.81	00:00:01:22		Saccade	tanaka_kawaeng-16-recording.avi
9036053687	SMP	1	631.96	697.22	00:00:01:23		Fixation	tanaka_kawaeng-16-recording.avi
9036086854	SMP	1	631.98	685.60	00:00:02:00		Fixation	tanaka_kawaeng-16-recording.avi
9036119711	SMP	1	631.16	671.44	00:00:02:01		Fixation	tanaka_kawaeng-16-recording.avi
9036153507	SMP	1	627.81	659.76	00:00:02:02		Fixation	tanaka_kawaeng-16-recording.avi
9036186301	SMP	1	626.31	643.31	00:00:02:03		Saccade	tanaka_kawaeng-16-recording.avi
