## [BeGaze]
## Converted from:	D:\Recorded Data\tanaka_kawaeng-[137678e8-e757-4853-8202-7842510bc545]\tanaka_kawaeng-24-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9994
## Reversed:	none
## [Run]
## Subject:	tanaka_kawaeng (8)
## Description:	Run009
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
12662917258	SMP	1	748.15	640.92	00:00:00:00		-	tanaka_kawaeng-24-recording.avi
12662949906	SMP	1	748.64	634.10	00:00:00:00		Blink	tanaka_kawaeng-24-recording.avi
12662983955	SMP	1	749.59	632.73	00:00:00:02		Blink	tanaka_kawaeng-24-recording.avi
12663016528	SMP	1	748.31	630.66	00:00:00:02		Blink	tanaka_kawaeng-24-recording.avi
12663050201	SMP	1	735.41	628.19	00:00:00:03		Blink	tanaka_kawaeng-24-recording.avi
12663088714	SMP	1	712.86	417.81	00:00:00:04		Blink	tanaka_kawaeng-24-recording.avi
12663149425	SMP	1	-663.11	16508.05	00:00:00:05		Blink	tanaka_kawaeng-24-recording.avi
12663183637	SMP	1	680.79	501.82	00:00:00:06		Blink	tanaka_kawaeng-24-recording.avi
12663216866	SMP	1	639.23	403.20	00:00:00:07		Blink	tanaka_kawaeng-24-recording.avi
12663249795	SMP	1	575.65	602.77	00:00:00:08		Blink	tanaka_kawaeng-24-recording.avi
12663282573	SMP	1	578.48	619.75	00:00:00:09		Blink	tanaka_kawaeng-24-recording.avi
12663315766	SMP	1	592.00	596.94	00:00:00:09		Blink	tanaka_kawaeng-24-recording.avi
12663349042	SMP	1	604.98	592.80	00:00:00:10		Blink	tanaka_kawaeng-24-recording.avi
12663382162	SMP	1	615.89	598.40	00:00:00:10		Fixation	tanaka_kawaeng-24-recording.avi
12663415721	SMP	1	624.26	605.09	00:00:00:12		Fixation	tanaka_kawaeng-24-recording.avi
12663448968	SMP	1	633.54	610.63	00:00:00:12		Saccade	tanaka_kawaeng-24-recording.avi
12663482238	SMP	1	779.96	641.68	00:00:00:13		Saccade	tanaka_kawaeng-24-recording.avi
