## [BeGaze]
## Converted from:	U:\eyedata\yamanaka_kawaeng-[9b81b4a9-f483-4988-a4da-c90e23d4d28c]\yamanaka_kawaeng-11-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	13211
## Reversed:	none
## [Run]
## Subject:	yamanaka_kawaeng
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
6613229963	SMP	1	773.81	537.84	00:00:00:00		Saccade	yamanaka_kawaeng-11-recording.avi
6613298077	SMP	1	788.42	512.77	00:00:00:02		Saccade	yamanaka_kawaeng-11-recording.avi
6613332552	SMP	1	788.89	513.85	00:00:00:02		Fixation	yamanaka_kawaeng-11-recording.avi
6613396362	SMP	1	790.36	512.89	00:00:00:04		Fixation	yamanaka_kawaeng-11-recording.avi
6613429848	SMP	1	790.13	512.01	00:00:00:05		Fixation	yamanaka_kawaeng-11-recording.avi
6613462868	SMP	1	789.52	512.48	00:00:00:05		Fixation	yamanaka_kawaeng-11-recording.avi
6613496213	SMP	1	789.83	511.52	00:00:00:06		Fixation	yamanaka_kawaeng-11-recording.avi
6613529234	SMP	1	789.42	512.24	00:00:00:07		Fixation	yamanaka_kawaeng-11-recording.avi
6613562340	SMP	1	789.84	511.75	00:00:00:08		Fixation	yamanaka_kawaeng-11-recording.avi
6613595907	SMP	1	788.58	510.72	00:00:00:09		Fixation	yamanaka_kawaeng-11-recording.avi
6613629082	SMP	1	790.17	509.18	00:00:00:09		Fixation	yamanaka_kawaeng-11-recording.avi
6613662294	SMP	1	791.16	507.33	00:00:00:10		Fixation	yamanaka_kawaeng-11-recording.avi
6613696107	SMP	1	790.74	504.44	00:00:00:11		Fixation	yamanaka_kawaeng-11-recording.avi
6613728852	SMP	1	792.01	507.13	00:00:00:11		Fixation	yamanaka_kawaeng-11-recording.avi
6613763179	SMP	1	793.05	508.79	00:00:00:12		Fixation	yamanaka_kawaeng-11-recording.avi
6613796010	SMP	1	770.81	514.19	00:00:00:13		Saccade	yamanaka_kawaeng-11-recording.avi
6613828884	SMP	1	640.32	579.84	00:00:00:14		Saccade	yamanaka_kawaeng-11-recording.avi
6613863257	SMP	1	640.65	580.18	00:00:00:15		Fixation	yamanaka_kawaeng-11-recording.avi
6613896107	SMP	1	642.56	579.20	00:00:00:16		Fixation	yamanaka_kawaeng-11-recording.avi
6613962143	SMP	1	645.62	583.46	00:00:00:18		Fixation	yamanaka_kawaeng-11-recording.avi
6613995193	SMP	1	649.14	580.69	00:00:00:18		Fixation	yamanaka_kawaeng-11-recording.avi
6614028131	SMP	1	656.26	581.81	00:00:00:19		Saccade	yamanaka_kawaeng-11-recording.avi
6614061785	SMP	1	778.21	561.75	00:00:00:20		Saccade	yamanaka_kawaeng-11-recording.avi
6614094912	SMP	1	774.94	560.09	00:00:00:21		Fixation	yamanaka_kawaeng-11-recording.avi
6614128292	SMP	1	771.10	559.18	00:00:00:21		Fixation	yamanaka_kawaeng-11-recording.avi
6614161704	SMP	1	765.92	559.41	00:00:00:22		Fixation	yamanaka_kawaeng-11-recording.avi
6614194802	SMP	1	762.88	559.60	00:00:00:23		Fixation	yamanaka_kawaeng-11-recording.avi
6614228039	SMP	1	760.63	556.53	00:00:01:00		Fixation	yamanaka_kawaeng-11-recording.avi
6614262024	SMP	1	760.01	551.08	00:00:01:01		Fixation	yamanaka_kawaeng-11-recording.avi
6614295352	SMP	1	760.94	549.87	00:00:01:02		Fixation	yamanaka_kawaeng-11-recording.avi
6614327974	SMP	1	762.40	550.43	00:00:01:02		Fixation	yamanaka_kawaeng-11-recording.avi
6614361180	SMP	1	760.61	553.09	00:00:01:03		Fixation	yamanaka_kawaeng-11-recording.avi
6614394396	SMP	1	755.61	555.94	00:00:01:04		Fixation	yamanaka_kawaeng-11-recording.avi
6614427595	SMP	1	751.08	555.36	00:00:01:05		Fixation	yamanaka_kawaeng-11-recording.avi
6614460836	SMP	1	746.01	554.04	00:00:01:05		Fixation	yamanaka_kawaeng-11-recording.avi
6614494482	SMP	1	742.43	554.79	00:00:01:06		Fixation	yamanaka_kawaeng-11-recording.avi
6614527846	SMP	1	740.62	554.11	00:00:01:07		Fixation	yamanaka_kawaeng-11-recording.avi
6614560765	SMP	1	741.12	555.16	00:00:01:07		Saccade	yamanaka_kawaeng-11-recording.avi
6614594343	SMP	1	701.20	604.63	00:00:01:08		Saccade	yamanaka_kawaeng-11-recording.avi
6614627754	SMP	1	682.56	626.39	00:00:01:09		Fixation	yamanaka_kawaeng-11-recording.avi
6614660873	SMP	1	679.70	627.56	00:00:01:10		Fixation	yamanaka_kawaeng-11-recording.avi
6614694021	SMP	1	674.95	631.77	00:00:01:11		Fixation	yamanaka_kawaeng-11-recording.avi
6614727090	SMP	1	671.46	635.57	00:00:01:11		Fixation	yamanaka_kawaeng-11-recording.avi
6614760357	SMP	1	670.98	641.31	00:00:01:13		Fixation	yamanaka_kawaeng-11-recording.avi
6614793941	SMP	1	671.87	643.99	00:00:01:13		Fixation	yamanaka_kawaeng-11-recording.avi
6614829930	SMP	1	671.04	646.82	00:00:01:14		Saccade	yamanaka_kawaeng-11-recording.avi
6614860541	SMP	1	669.83	654.27	00:00:01:15		Saccade	yamanaka_kawaeng-11-recording.avi
6614893369	SMP	1	669.23	660.16	00:00:01:16		Fixation	yamanaka_kawaeng-11-recording.avi
6614927128	SMP	1	666.26	667.32	00:00:01:17		Fixation	yamanaka_kawaeng-11-recording.avi
6614960818	SMP	1	664.81	674.14	00:00:01:18		Saccade	yamanaka_kawaeng-11-recording.avi
6614993570	SMP	1	662.91	682.49	00:00:01:18		Saccade	yamanaka_kawaeng-11-recording.avi
6615026655	SMP	1	662.84	684.63	00:00:01:19		Fixation	yamanaka_kawaeng-11-recording.avi
6615060133	SMP	1	662.17	688.59	00:00:01:20		Fixation	yamanaka_kawaeng-11-recording.avi
6615093240	SMP	1	652.61	718.93	00:00:01:21		Saccade	yamanaka_kawaeng-11-recording.avi
6615159960	SMP	1	635.77	909.04	00:00:01:22		Saccade	yamanaka_kawaeng-11-recording.avi
6615193070	SMP	1	651.03	943.93	00:00:01:23		Fixation	yamanaka_kawaeng-11-recording.avi
6615226342	SMP	1	657.16	910.15	00:00:02:00		Fixation	yamanaka_kawaeng-11-recording.avi
6615259709	SMP	1	644.49	807.62	00:00:02:01		Fixation	yamanaka_kawaeng-11-recording.avi
6615292844	SMP	1	629.62	705.86	00:00:02:02		Saccade	yamanaka_kawaeng-11-recording.avi
6615326904	SMP	1	514.37	704.75	00:00:02:02		Saccade	yamanaka_kawaeng-11-recording.avi
6615359701	SMP	1	498.51	692.55	00:00:02:03		Fixation	yamanaka_kawaeng-11-recording.avi
6615392627	SMP	1	491.47	680.68	00:00:02:03		Fixation	yamanaka_kawaeng-11-recording.avi
6615425964	SMP	1	486.34	669.93	00:00:02:04		Fixation	yamanaka_kawaeng-11-recording.avi
6615459449	SMP	1	484.27	664.27	00:00:02:05		Fixation	yamanaka_kawaeng-11-recording.avi
6615492609	SMP	1	485.66	668.00	00:00:02:06		Fixation	yamanaka_kawaeng-11-recording.avi
6615525902	SMP	1	491.13	676.53	00:00:02:07		Fixation	yamanaka_kawaeng-11-recording.avi
6615559285	SMP	1	500.64	688.46	00:00:02:08		Fixation	yamanaka_kawaeng-11-recording.avi
6615592480	SMP	1	555.61	681.61	00:00:02:09		Saccade	yamanaka_kawaeng-11-recording.avi
6615626389	SMP	1	638.39	634.39	00:00:02:09		Saccade	yamanaka_kawaeng-11-recording.avi
6615658913	SMP	1	646.30	641.13	00:00:02:10		Fixation	yamanaka_kawaeng-11-recording.avi
6615692242	SMP	1	652.03	654.11	00:00:02:11		Fixation	yamanaka_kawaeng-11-recording.avi
6615725325	SMP	1	657.88	661.89	00:00:02:12		Fixation	yamanaka_kawaeng-11-recording.avi
6615758579	SMP	1	663.33	671.10	00:00:02:13		Fixation	yamanaka_kawaeng-11-recording.avi
6615792037	SMP	1	665.30	678.79	00:00:02:13		Fixation	yamanaka_kawaeng-11-recording.avi
6615825404	SMP	1	666.86	674.23	00:00:02:14		Fixation	yamanaka_kawaeng-11-recording.avi
6615858503	SMP	1	666.90	677.87	00:00:02:15		Fixation	yamanaka_kawaeng-11-recording.avi
