## [BeGaze]
## Converted from:	U:\eyedata\yamanaka_kawaeng-[9b81b4a9-f483-4988-a4da-c90e23d4d28c]\yamanaka_kawaeng-12-recording.idf
## Date:	13.11.2012 16:47:55
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	10554
## Reversed:	none
## [Run]
## Subject:	yamanaka_kawaeng (1)
## Description:	Run2
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info	Stimulus
7130263060	SMP	1	686.37	691.80	00:00:00:00		Fixation	yamanaka_kawaeng-12-recording.avi
7130298074	SMP	1	684.53	694.79	00:00:00:01		Fixation	yamanaka_kawaeng-12-recording.avi
7130331163	SMP	1	684.46	698.46	00:00:00:02		Fixation	yamanaka_kawaeng-12-recording.avi
7130364442	SMP	1	685.16	700.09	00:00:00:03		Fixation	yamanaka_kawaeng-12-recording.avi
7130398482	SMP	1	686.42	702.82	00:00:00:04		Fixation	yamanaka_kawaeng-12-recording.avi
7130431386	SMP	1	687.64	703.84	00:00:00:05		Fixation	yamanaka_kawaeng-12-recording.avi
7130464093	SMP	1	689.35	709.37	00:00:00:05		Fixation	yamanaka_kawaeng-12-recording.avi
7130497936	SMP	1	689.29	715.02	00:00:00:06		Fixation	yamanaka_kawaeng-12-recording.avi
7130530969	SMP	1	687.17	717.76	00:00:00:07		Fixation	yamanaka_kawaeng-12-recording.avi
7130563858	SMP	1	682.12	719.26	00:00:00:08		Fixation	yamanaka_kawaeng-12-recording.avi
7130597282	SMP	1	680.05	719.28	00:00:00:08		Fixation	yamanaka_kawaeng-12-recording.avi
7130630280	SMP	1	679.67	712.84	00:00:00:09		Fixation	yamanaka_kawaeng-12-recording.avi
7130665193	SMP	1	676.73	702.84	00:00:00:10		Fixation	yamanaka_kawaeng-12-recording.avi
7130697595	SMP	1	671.38	689.78	00:00:00:10		Fixation	yamanaka_kawaeng-12-recording.avi
7130730704	SMP	1	664.50	675.79	00:00:00:11		Fixation	yamanaka_kawaeng-12-recording.avi
7130763800	SMP	1	657.94	661.01	00:00:00:12		Fixation	yamanaka_kawaeng-12-recording.avi
7130797050	SMP	1	654.23	649.29	00:00:00:13		Fixation	yamanaka_kawaeng-12-recording.avi
7130830075	SMP	1	652.39	641.90	00:00:00:14		Fixation	yamanaka_kawaeng-12-recording.avi
7130863953	SMP	1	649.16	636.82	00:00:00:15		Fixation	yamanaka_kawaeng-12-recording.avi
7130898319	SMP	1	651.71	637.93	00:00:00:16		Saccade	yamanaka_kawaeng-12-recording.avi
7130930301	SMP	1	659.61	648.70	00:00:00:16		Saccade	yamanaka_kawaeng-12-recording.avi
7130964001	SMP	1	666.03	659.58	00:00:00:17		Fixation	yamanaka_kawaeng-12-recording.avi
7130996484	SMP	1	674.17	677.07	00:00:00:18		Fixation	yamanaka_kawaeng-12-recording.avi
7131029755	SMP	1	683.81	693.51	00:00:00:19		Saccade	yamanaka_kawaeng-12-recording.avi
7131063559	SMP	1	678.86	659.40	00:00:00:20		Saccade	yamanaka_kawaeng-12-recording.avi
